"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep","Organisation_fame_search","X.x","Company.name","foreign_any","left","invest_any","X.y","No.of.companies.in.corporate.group","X.x.x","Profit.margin.Last.avail..yr","Berry.ratio.Last.avail..yr","EBITDA.margin.Last.avail..yr","Salaries..Turnover.Last.avail..yr","X.y.y","LA.Number.x","LA_Code.x","year.x","category.x","subcategory.x","variable.x","number","percent.x","year.y","children_in_care","X.x.x.x","LA.Number.y","LA_Code.y","year.x.x","category.y","subcategory.y","variable.y","outsideno","outside","X.y.y.y","LA.Number","LA_Code","year.y.y","category","subcategory","variable","others_inside","percent.y","IMD.2019...Extent","Average_house_price","net_gain","high_net_gain","high_need_areas","low_cost_areas","joined","age","month","year","age_months","age_years","rating_numeric"
"776","Private","SC062288",4,"SHROPSHIRE","Educare Adolescent Services Limited","11/10/2004","Good",2019-03-06,1,NA,"2022-01-10",NA,"Educare Adolescent Services Limited",161,"EDUCARE ADOLESCENT SERVICES LIMITED",0,1,0,244,5,242,"","","","",106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,2004-10-11,"10/04","2004",199.655030800821,16.6379192334018,3
"777","Private","SC062406",3,"STAFFORDSHIRE","Horizon Care Limited","24/01/2005","Good",2020-02-19,1,NA,"2022-01-10",NA,"Horizon Care Limited",54,"HORIZON CARE LIMITED",0,1,0,291,11,289,"","","","",105957,"860","E10000028",2023,"net gain","net gain","Net gain of children by responsible LA","489",NA,2023,"1384",140292,"860","E10000028",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","508","37",105955,"860","E10000028",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","997",NA,0.0907,243112,489,0,0,0,0,2005-01-24,"01/05","2005",196.205338809035,16.3504449007529,3
"778","Local Authority","SC062573",4,"WAKEFIELD","Wakefield Metropolitan District Council","20/01/2005","Good",2019-07-09,1,NA,"2023-03-26",NA,"Wakefield Metropolitan District Council",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105828,"384","E08000036",2023,"net gain","net gain","Net gain of children by responsible LA","-7",NA,2023,"635",138636,"384","E08000036",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","286","45",105826,"384","E08000036",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","279",NA,0.3248,198578,-7,0,0,0,0,2005-01-20,"01/05","2005",196.336755646817,16.3613963039014,3
"779","Private","SC063759",2,"LANCASHIRE","Horizon Care Limited","16/03/2005","Good",2020-02-25,1,NA,"2020-05-01",NA,"Horizon Care Limited",54,"HORIZON CARE LIMITED",0,1,0,291,11,289,"","","","",106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,2005-03-16,"03/05","2005",194.52977412731,16.2108145106092,3
"780","Private","SC063959",3,"LANCASHIRE","Keys Care Ltd","09/05/2005","Good",2019-10-08,1,NA,"2021-06-11",NA,"Keys Care Ltd",648,"KEYS CARE LIMITED",0,1,0,96,50,96,"4.76","1","10.54","64.33",106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,2005-05-09,"05/05","2005",192.755646817248,16.062970568104,3
"781","Private","SC065312",8,"NORTHUMBERLAND","Howard House Care Limited","30/11/2005","Good",2019-10-30,1,NA,"2020-11-03",NA,"Howard House Care Limited",9,"HOWARD HOUSE CARE LIMITED",0,1,0,354,0,352,"","","","",106080,"929","E06000057",2023,"net gain","net gain","Net gain of children by responsible LA","77",NA,2023,"450",135738,"929","E06000057",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","122","27",106078,"929","E06000057",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","199",NA,0.205,197937,77,0,0,0,0,2005-11-30,"11/05","2005",186.020533880903,15.501711156742,3
"782","Voluntary","SC065443",15,"DEVON","Dame Hannah Roger's School","22/12/2005","Requires improvement to be good",2019-08-19,1,NA,"2020-07-31",NA,"Dame Hannah Rogers School",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105999,"878","E10000008",2023,"net gain","net gain","Net gain of children by responsible LA","85",NA,2023,"893",143535,"878","E10000008",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","257","29",105997,"878","E10000008",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","342",NA,0.0467,327044,85,0,0,0,0,2005-12-22,"12/05","2005",185.297741273101,15.441478439425,2
"783","Local Authority","SC066166",5,"MEDWAY","Medway Council","28/02/2006","Requires improvement to be good",2019-04-24,1,NA,"2020-05-11",NA,"Medway Council",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106026,"887","E06000035",2023,"net gain","net gain","Net gain of children by responsible LA","98",NA,2023,"465",141258,"887","E06000035",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","269","58",106024,"887","E06000035",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","367",NA,0.2389,297694,98,0,1,0,0,2006-02-28,"02/06","2006",183.063655030801,15.2553045859001,2
"784","Local Authority","SC066277",9,"HAMPSHIRE","Hampshire County Council","16/02/2006","Requires improvement to be good",2019-04-10,1,NA,"2022-11-01",NA,"Hampshire County Council",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105939,"850","E10000014",2023,"net gain","net gain","Net gain of children by responsible LA","-139",NA,2023,"1853",142224,"850","E10000014",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","760","41",105937,"850","E10000014",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","621",NA,0.0493,367585,-139,0,0,0,0,2006-02-16,"02/06","2006",183.457905544148,15.2881587953457,2
"785","Private","SC068205",1,"DEVON","One To One Crisis Intervention Ltd","21/08/2006","Outstanding",2019-11-19,1,NA,"2022-01-31",NA,"One To One Crisis Intervention Ltd",159,"ONE TO ONE CRISIS INTERVENTION LIMITED",0,1,0,259,3,257,"","","","",105999,"878","E10000008",2023,"net gain","net gain","Net gain of children by responsible LA","85",NA,2023,"893",143535,"878","E10000008",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","257","29",105997,"878","E10000008",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","342",NA,0.0467,327044,85,0,0,0,0,2006-08-21,"08/06","2006",177.347022587269,14.7789185489391,4
"786","Private","SC359812",2,"WEST SUSSEX","My Choice Children's Homes Ltd","26/03/2007","Outstanding",2019-08-13,1,NA,"2021-05-17",NA,"My Choice childrens Homes Ltd",110,"MY CHOICE CHILDREN'S HOMES LIMITED",0,1,0,278,3,276,"","","","",106098,"938","E10000032",2023,"net gain","net gain","Net gain of children by responsible LA","4",NA,2023,"887",142500,"938","E10000032",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","313","35",106096,"938","E10000032",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","317",NA,0.0425,380863,4,0,0,0,0,2007-03-26,"03/07","2007",170.217659137577,14.1848049281314,4
"787","Private","SC361129",3,"LANCASHIRE","Cherry Cottage Limited","14/12/2007","Requires improvement to be good",2019-07-09,1,NA,"2020-04-23",NA,"Cherry Cottage Limited",331,"CHERRY COTTAGE LIMITED",0,1,0,383,0,381,"","","","",106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,2007-12-14,"12/07","2007",161.577002053388,13.4647501711157,2
"788","Private","SC366851",3,"SALFORD","Horizon Care Limited","18/02/2008","Good",2019-09-17,1,NA,"2020-05-01",NA,"Horizon Care Limited",54,"HORIZON CARE LIMITED",0,1,0,291,11,289,"","","","",105789,"355","E08000006",2023,"net gain","net gain","Net gain of children by responsible LA","-81",NA,2023,"554",136911,"355","E08000006",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","241","44",105787,"355","E08000006",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","160",NA,0.472,230165,-81,0,0,0,0,2008-02-18,"02/08","2008",159.408624229979,13.284052019165,3
"789","Private","SC367623",61,"SURREY","Kisimul Group Ltd","04/04/2008","Good",2019-07-02,1,NA,"2021-03-26",NA,"Kisimul Group Ltd",290,"KISIMUL GROUP LIMITED",1,1,1,25,7,25,"5.30","1","2.09","69.17",106092,"936","E10000030",2023,"net gain","net gain","Net gain of children by responsible LA","-204",NA,2023,"1013",142431,"936","E10000030",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","494","49",106090,"936","E10000030",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","290",NA,0.0082,506515,-204,0,0,0,0,2008-04-04,"04/08","2008",157.897330595483,13.1581108829569,3
"790","Private","SC368032",3,"WALSALL","Constant Child Care Ltd","03/03/2008","Requires improvement to be good",2019-05-01,1,NA,"2020-12-04",NA,"Constant Child Care Ltd",276,"NEXT STEPS AFTERCARE LIMITED",0,1,0,395,0,393,"","","","",105753,"335","E08000030",2023,"net gain","net gain","Net gain of children by responsible LA","34",NA,2023,"650",140154,"335","E08000030",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","371","57",105751,"335","E08000030",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","405",NA,0.4844,216325,34,0,1,0,0,2008-03-03,"03/08","2008",158.948665297741,13.2457221081451,2
"791","Local Authority","SC368934",5,"CORNWALL","Cornwall Council","14/03/2008","Good",2019-12-03,1,NA,"2021-04-01",NA,"Cornwall Council",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106056,"908","E06000052",2023,"net gain","net gain","Net gain of children by responsible LA","44",NA,2023,"565",143190,"908","E06000052",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","133","24",106054,"908","E06000052",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","177",NA,0.1323,298384,44,0,0,0,0,2008-03-14,"03/08","2008",158.58726899384,13.2156057494867,3
"792","Private","SC368982",3,"STAFFORDSHIRE","Oracle Care Limited","09/04/2008","Good",2019-11-19,1,NA,"2021-12-08",NA,"Oracle Care Limited",71,"ORACLE CARE LIMITED",0,1,1,374,31,372,"","","","",105957,"860","E10000028",2023,"net gain","net gain","Net gain of children by responsible LA","489",NA,2023,"1384",140292,"860","E10000028",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","508","37",105955,"860","E10000028",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","997",NA,0.0907,243112,489,0,0,0,0,2008-04-09,"04/08","2008",157.733059548255,13.1444216290212,3
"793","Voluntary","SC371267",36,"ST HELENS","Nugent Care","08/08/2008","Good",2019-08-06,1,NA,"2021-01-31",NA,"Nugent Care",60,"NUGENT CARE 2019",0,1,0,68,0,68,"-3.14","","0.46","63.02",105765,"342","E08000013",2023,"net gain","net gain","Net gain of children by responsible LA","-27",NA,2023,"469",137394,"342","E08000013",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","215","46",105763,"342","E08000013",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","188",NA,0.4011,179079,-27,0,0,0,0,2008-08-08,"08/08","2008",153.757700205339,12.8131416837782,3
"794","Private","SC371723",3,"STAFFORDSHIRE","Educare Adolescent Services Limited","23/04/2008","Requires improvement to be good",2019-06-04,1,NA,"2022-02-16",NA,"Educare Adolescent Services Limited",161,"EDUCARE ADOLESCENT SERVICES LIMITED",0,1,0,244,5,242,"","","","",105957,"860","E10000028",2023,"net gain","net gain","Net gain of children by responsible LA","489",NA,2023,"1384",140292,"860","E10000028",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","508","37",105955,"860","E10000028",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","997",NA,0.0907,243112,489,0,0,0,0,2008-04-23,"04/08","2008",157.273100616016,13.1060917180014,2
"795","Private","SC372617",1,"SHROPSHIRE","Bryn Melyn Care Limited","14/07/2008","Good",2019-11-14,1,NA,"2021-11-08",NA,"Bryn Melyn Care Limited",558,"BRYN MELYN CARE LIMITED",0,1,0,87,50,87,"2.84","1","5.89","62.66",106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,2008-07-14,"07/08","2008",154.579055441478,12.8815879534565,3
"796","Private","SC372619",1,"SHROPSHIRE","Bryn Melyn Care Limited","14/07/2008","Good",2019-12-19,1,NA,"2021-11-28",NA,"Bryn Melyn Care Limited",558,"BRYN MELYN CARE LIMITED",0,1,0,87,50,87,"2.84","1","5.89","62.66",106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,2008-07-14,"07/08","2008",154.579055441478,12.8815879534565,3
"797","Private","SC372652",1,"SHROPSHIRE","Bryn Melyn Care Limited","12/12/2008","Good",2019-11-06,1,NA,"2021-10-31",NA,"Bryn Melyn Care Limited",558,"BRYN MELYN CARE LIMITED",0,1,0,87,50,87,"2.84","1","5.89","62.66",106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,2008-12-12,"12/08","2008",149.618069815195,12.4681724845996,3
"798","Private","SC372664",1,"SHROPSHIRE","Bryn Melyn Care Limited","30/07/2008","Outstanding",2019-11-05,1,NA,"2021-06-15",NA,"Bryn Melyn Care Limited",558,"BRYN MELYN CARE LIMITED",0,1,0,87,50,87,"2.84","1","5.89","62.66",106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,2008-07-30,"07/08","2008",154.053388090349,12.8377823408624,4
"799","Local Authority","SC374180",6,"NORTHAMPTONSHIRE","Children First Northamptonshire","07/08/2008","Requires improvement to be good",2019-07-02,1,NA,"2020-10-31",NA,"Children First Northamptonshire",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,106077,"928","E10000021",2023,"net gain","net gain","Net gain of children by responsible LA","z",NA,2023,"z",139395,"928","E10000021",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","z","z",106075,"928","E10000021",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","z",NA,0.1511,NA,NA,NA,1,NA,0,2008-08-07,"08/08","2008",153.790554414784,12.8158795345654,2
"800","Private","SC374640",3,"SOUTH GLOUCESTERSHIRE","Keys Cwc Ltd","09/05/2008","Requires improvement to be good",2019-04-16,1,NA,"2022-02-04",NA,"Keys Cwc Ltd",651,"KEYS CWC LIMITED",0,1,0,225,50,223,"4.82","1","12.43","63.08",105858,"803","E06000025",2023,"net gain","net gain","Net gain of children by responsible LA","67",NA,2023,"256",142776,"803","E06000025",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","120","47",105856,"803","E06000025",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","187",NA,0.0126,338175,67,0,0,0,0,2008-05-09,"05/08","2008",156.747433264887,13.0622861054073,2
"801","Private","SC374939",3,"LIVERPOOL","Horizon Care Limited","22/04/2008","Good",2019-12-11,1,NA,"2020-04-22",NA,"Horizon Care Limited",54,"HORIZON CARE LIMITED",0,1,0,291,11,289,"","","","",105762,"341","E08000012",2023,"net gain","net gain","Net gain of children by responsible LA","-295",NA,2023,"1477",137325,"341","E08000012",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","670","45",105760,"341","E08000012",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","375",NA,0.6213,173665,-295,0,0,0,0,2008-04-22,"04/08","2008",157.305954825462,13.1088295687885,3
"802","Local Authority","SC375911",6,"STAFFORDSHIRE","Staffordshire County Council","29/05/2008","Outstanding",2020-02-11,1,NA,NA,NA,"Staffordshire County Council",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,105957,"860","E10000028",2023,"net gain","net gain","Net gain of children by responsible LA","489",NA,2023,"1384",140292,"860","E10000028",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","508","37",105955,"860","E10000028",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","997",NA,0.0907,243112,489,0,0,0,0,2008-05-29,"05/08","2008",156.090349075975,13.0075290896646,4
"803","Private","SC378600",4,"LEICESTERSHIRE","Total Care Matters Ltd","24/07/2008","Requires improvement to be good",2019-06-06,1,NA,"2021-03-10",NA,"Total Care Matters Ltd",641,"TOTAL CARE MATTERS LTD",0,1,0,403,0,401,"","","","",105948,"855","E10000018",2023,"net gain","net gain","Net gain of children by responsible LA","345",NA,2023,"681",139257,"855","E10000018",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","250","37",105946,"855","E10000018",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","595",NA,0.0247,286368,345,1,0,0,0,2008-07-24,"07/08","2008",154.250513347023,12.8542094455852,2
"804","Private","SC381531",5,"CHESHIRE EAST","Young Alliance Limited","10/10/2008","Good",2019-05-09,1,NA,"2022-03-07",NA,"Young Alliance Limited",366,"YOUNG ALLIANCE LIMITED",0,1,0,NA,NA,NA,NA,NA,NA,NA,106050,"895","E06000049",2023,"net gain","net gain","Net gain of children by responsible LA","-58",NA,2023,"580",136428,"895","E06000049",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","259","45",106048,"895","E06000049",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","201",NA,0.0852,285688,-58,0,0,0,0,2008-10-10,"10/08","2008",151.687885010267,12.6406570841889,3
"805","Private","SC381725",1,"SHROPSHIRE","Reflexion Care Group Limited","04/08/2008","Good",2020-01-22,1,NA,"2021-01-31",NA,"Reflexion Care Group Limited",80,"REFLEXION CARE GROUP LIMITED",0,1,1,67,94,67,"3.57","1","8.34","65.53",106044,"893","E06000051",2023,"net gain","net gain","Net gain of children by responsible LA","57",NA,2023,"656",139740,"893","E06000051",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","253","39",106042,"893","E06000051",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","310",NA,0.0426,268548,57,0,0,0,0,2008-08-04,"08/08","2008",153.889117043121,12.8240930869268,3
"806","Local Authority","SC383187",4,"MILTON KEYNES","Milton Keynes Council","09/10/2008","Good",2019-08-20,1,NA,"2020-07-22",NA,"Milton Keynes Council",NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,105903,"826","E06000042",2023,"net gain","net gain","Net gain of children by responsible LA","27",NA,2023,"354",141741,"826","E06000042",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","156","44",105901,"826","E06000042",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","183",NA,0.1183,311477,27,0,0,0,0,2008-10-09,"10/08","2008",151.720739219713,12.643394934976,3
"807","Private","SC384924",2,"KIRKLEES","Rosedale Children's Services Limited","20/10/2008","Good",2019-10-15,1,NA,"2020-11-30",NA,"Rosedale childrens Services Limited",68,"ROSEDALE CHILDREN'S SERVICES LIMITED",1,1,1,340,188,338,"","","","",105822,"382","E08000034",2023,"net gain","net gain","Net gain of children by responsible LA","-5",NA,2023,"592",138498,"382","E08000034",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","248","42",105820,"382","E08000034",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","243",NA,0.2938,196774,-5,0,0,0,0,2008-10-20,"10/08","2008",151.359342915811,12.6132785763176,3
"808","Private","SC386651",3,"SOMERSET","Keys Educational Services Limited","04/02/2009","Good",2019-08-20,1,NA,"2020-04-01",NA,"Keys Educational Services Limited",644,"KEYS EDUCATIONAL SERVICES LIMITED",0,1,0,74,50,74,"2.01","1","3.57","25.18",106086,"933","E10000027",2023,"net gain","net gain","Net gain of children by responsible LA","3",NA,2023,"564",143742,"933","E10000027",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","213","38",106084,"933","E10000027",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","216",NA,0.0847,290264,3,0,0,0,0,2009-02-04,"02/09","2009",147.843942505133,12.3203285420945,3
"809","Private","SC389649",3,"MANCHESTER","Cambian Childcare Ltd","18/02/2009","Requires improvement to be good",2019-08-08,1,NA,"2020-12-20",NA,"Cambian Childcare Ltd",18,"CAMBIAN CHILDCARE LIMITED",1,1,1,10,188,10,"24.00","2","25.16","47.74",105780,"352","E08000003",2023,"net gain","net gain","Net gain of children by responsible LA","-315",NA,2023,"1332",136704,"352","E08000003",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","656","49",105778,"352","E08000003",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","341",NA,0.5999,248260,-315,0,0,0,0,2009-02-18,"02/09","2009",147.383983572895,12.2819986310746,2
"810","Private","SC390434",2,"STOKE ON TRENT","Crystal Care Solutions Limited","12/03/2009","Good",2019-06-18,1,NA,"2021-10-01",NA,"Crystal Care Solutions Limited",212,"CRYSTAL CARE SOLUTIONS LIMITED",0,1,1,388,2,386,"","","","",105960,"861","E06000021",2023,"net gain","net gain","Net gain of children by responsible LA","-412",NA,2023,"1107",139671,"861","E06000021",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","597","54",105958,"861","E06000021",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","185",NA,0.5073,139532,-412,0,1,1,0,2009-03-12,"03/09","2009",146.661190965092,12.2217659137577,3
"811","Private","SC390577",3,"ROCHDALE","Meadows Care Limited","31/03/2009","Good",2019-12-10,1,NA,NA,NA,"Meadows Care Limited",638,"MEADOWS CARE LIMITED",0,0,0,97,4,97,"9.65","1","10.33","65.84",105786,"354","E08000005",2023,"net gain","net gain","Net gain of children by responsible LA","33",NA,2023,"602",136842,"354","E08000005",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","219","36",105784,"354","E08000005",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","252",NA,0.4758,194866,33,0,0,0,0,2009-03-31,"03/09","2009",146.036960985626,12.1697467488022,3
"812","Voluntary","SC394025",60,"SURREY","The National Centre for Young People with Epilepsy","09/06/2009","Good",2019-08-28,1,NA,"2020-09-01",NA,"The National Centre for Young People with Epilepsy",12,"THE NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY CHARITABLE TRUST",0,1,0,57,0,58,"","","","",106092,"936","E10000030",2023,"net gain","net gain","Net gain of children by responsible LA","-204",NA,2023,"1013",142431,"936","E10000030",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","494","49",106090,"936","E10000030",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","290",NA,0.0082,506515,-204,0,0,0,0,2009-06-09,"06/09","2009",143.737166324435,11.9780971937029,3
"813","Private","SC397112",4,"CHESHIRE WEST AND CHESTER","Keys ACE Limited","30/07/2009","Good",2019-09-26,1,NA,"2022-09-30",NA,"Keys ACE Limited",738,"KEYS ACE LIMITED",0,1,0,206,50,204,"4.76","1","10.46","66.82",106053,"896","E06000050",2023,"net gain","net gain","Net gain of children by responsible LA","-82",NA,2023,"589",136497,"896","E06000050",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","252","43",106051,"896","E06000050",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","170",NA,0.1578,260272,-82,0,0,0,0,2009-07-30,"07/09","2009",142.06160164271,11.8384668035592,3
"814","Private","SC398367",4,"WIGAN","Cherry Cottage Limited","22/09/2009","Requires improvement to be good",2019-08-13,1,NA,"2020-04-23",NA,"Cherry Cottage Limited",331,"CHERRY COTTAGE LIMITED",0,1,0,383,0,381,"","","","",105801,"359","E08000010",2023,"net gain","net gain","Net gain of children by responsible LA","20",NA,2023,"679",137187,"359","E08000010",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","230","34",105799,"359","E08000010",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","250",NA,0.3135,184774,20,0,0,0,0,2009-09-22,"09/09","2009",140.287474332649,11.6906228610541,2
"815","Private","SC398385",3,"STAFFORDSHIRE","Hillcrest Children's Services (2) Ltd","20/07/2009","Good",2019-11-20,1,NA,"2021-08-24",NA,"Hillcrest childrens Services (2) Ltd",240,"HILLCREST CHILDRENS SERVICES (2) LIMITED",0,1,0,92,42,92,"0.59","1","6.12","51.86",105957,"860","E10000028",2023,"net gain","net gain","Net gain of children by responsible LA","489",NA,2023,"1384",140292,"860","E10000028",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","508","37",105955,"860","E10000028",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","997",NA,0.0907,243112,489,0,0,0,0,2009-07-20,"07/09","2009",142.390143737166,11.8658453114305,3
"816","Private","SC400219",5,"LANCASHIRE","Keys Care Ltd","27/11/2009","Good",2019-04-17,1,NA,"2021-03-31",NA,"Keys Care Ltd",648,"KEYS CARE LIMITED",0,1,0,96,50,96,"4.76","1","10.54","64.33",106029,"888","E10000017",2023,"net gain","net gain","Net gain of children by responsible LA","815",NA,2023,"1875",137670,"888","E10000017",2023,"child characteristic at 31st March","Locality of placement","Placed outside the local authority boundary","349","19",106027,"888","E10000017",2023,"net gain","net gain","1. Children who are the responsibility of other LAs placed within this LA boundary","1164",NA,0.2447,188185,815,0,0,0,0,2009-11-27,"11/09","2009",138.11909650924,11.5099247091034,3
