,Organisation_fame_search,Company.name
406,Aurora Care Young Peoples Services,AURORA CARE YOUNG PEOPLE'S SERVICES LIMITED
407,Footsteps To Futures Ltd,FOOTSTEPS TO FUTURES LIMITED
408,My Life-My Choice Limited,MY LIFE CHOICE LTD
409,Clouds childrens Care Limited,CLOUDS CHILDRENS CARE LIMITED
410,Exeter Royal Academy For Deaf Education,EXETER ROYAL ACADEMY FOR DEAF EDUCATION.
411,Barford childrens Services Limited,BARFORD CHILDREN'S SERVICES LIMITED
412,Footsteps Care Limited,FOOTSTEPS CARE LIMITED
413,Kartikeya Solutions Limited,KARTIKEYA SOLUTIONS LIMITED
414,Platform Childcare Ltd,PLATFORM CHILDCARE LTD
415,Inmind Childrens Services Limited,INMIND CHILDREN'S SERVICES LIMITED
416,RNIB Charity,RNIB CHARITY
417,South West Childcare Services Ltd,SOUTH WEST CHILDCARE SERVICES LTD
418,Approach-Development (NE) Ltd,APPROACH-DEVELOPMENT (NE) LTD.
419,Family Child Care Ltd,HAPPY FAMILIES CHILD CARE LIMITED
420,Kedleston (High Peak School) Limited,KEDLESTON (HIGH PEAK SCHOOL) LIMITED
421,Park Blue Homes Limited,PARK BLUE HOMES LIMITED
422,Serenity Care Homes Ltd,SERENITY CARE HOMES LTD
423,MacIntyre Academies,MACINTYRE ACADEMIES
424,Kattz (ah) Ltd,KATTZ (AH) LTD
425,Positive Outcomes Childcare Ltd,POSITIVE OUTCOMES CHILDCARE LIMITED
426,North East Specialist Therapeutic Services CIC,NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC
427,Safe Base Care Limited,SAFE BASE CARE LIMITED
428,Hennessy Living Group Ltd,HENNESSY LIVING GROUP LIMITED
429,White Orchid Marston Moretaine Limited,WHITE ORCHID MARSTON MORETAINE LIMITED
430,Cambian Asperger Syndrome Services Limited,CAMBIAN ASPERGER SYNDROME SERVICES LIMITED
431,Exceptional Care Ltd,EXCEPTIONAL CARE LIMITED
432,Life Change Care Limited,LIFE CHANGE CARE LTD
433,Carbrey Care Ltd,CARBREY CARE LTD
434,Holistic Approach Ltd,HOLISTIC APPROACH LTD
435,Icare childrens Services Ltd,ICARE CHILDRENS SERVICES LIMITED
436,Tlc Youth Care Limited,TLC YOUTH CARE LIMITED
437,SLOUGH CHILDREN FIRST LIMITED (),SLOUGH CHILDREN FIRST LIMITED
438,Lonsdale Care Ltd,LONSDALE CARE LTD
439,Devon & Cornwall Autistic Community Trust,DEVON & CORNWALL AUTISTIC COMMUNITY TRUST
447,A&t Home Ltd,A & T HOMES LIMITED
448,Quality Care Homes (uk) Limited,QUALITY CARE HOMES (UK) LIMITED
449,Sunderland Care And Support Limited,SUNDERLAND CARE AND SUPPORT LIMITED
450,Kennet Care Limited,KENNET CARE LIMITED
451,South West Mental Health Ltd,1848 LTD
452,Next Stage 4 Life,NEXT STAGE 4 LIFE LTD
453,River Valley Care Ltd,RIVER VALLEY CARE LIMITED
454,Headway House Limited,HEADWAY HOUSE LIMITED
455,Resolute Care Ltd,RESOLUTE CARE LTD
456,Hygge Care Limited,HYGGE CARE LTD
457,Potensial Ltd,POTENSIAL LIMITED
458,Broadwood Residential Ltd,KEYS BR LIMITED
459,Kingdom Care Childrens Homes Ltd,KEYS KIN LIMITED
460,Harmony Residential Homes Ltd,HARMONY RESIDENTIAL HOMES LTD
461,Thornleigh Camphill Communities Ltd,THORNLEIGH CAMPHILL COMMUNITIES LIMITED
462,Solent Child Care Ltd,SOLENT CHILD CARE LIMITED
463,Phoenix Care And Education Ltd,PHOENIX CARE & EDUCATION LTD
464,Personal Security Service Ltd,PERSONAL SECURITY SERVICE LTD
465,Aurora Care and Education Opco Limited,AURORA CARE AND EDUCATION OPCO LIMITED
466,Sherlock Healthcare Services Ltd,SHERLOCK HEALTHCARE SERVICES LTD
467,In Safe Hands Care Ltd,IN SAFE HANDS CARE LTD
468,G.V Kids Ltd,G.V KIDS LTD
469,Friends Together Care Homes Ltd,FRIENDS TOGETHER CARE HOMES LTD
470,The Percy Hedley Foundation,THE PERCY HEDLEY FOUNDATION
471,Children Of The Mangrove Limited,CHILDREN OF THE MANGROVE LIMITED
472,Happy Group (UK) Limited,HAPPY GROUP (UK) LIMITED
473,Care 4 Children,YOUR CHAPTER HOLDINGS LIMITED
474,Care 4 Children Holdco Limited,YOUR CHAPTER HOLDINGS LIMITED
475,Treehouse Educare Limited,TREEHOUSE EDUCARE LIMITED
476,Future Focused Ltd,FUTURE FOCUSED LTD
477,Headstart Care LLP,HEADSTART CARE LLP
478,Keir Lock childrens Homes Ltd,KEIR LOCK CHILDRENS HOMES LTD
479,Interactive Development Support Limited,INTERACTIVE DEVELOPMENT SUPPORT LIMITED
480,Fonjocks Social Work Practice Limited,FONJOCK'S SOCIAL WORK PRACTICE LIMITED
481,Inspire Care (uk) Limited,INSPIRE CARE (UK) LIMITED
482,Netheredge Care Limited,NETHEREDGE CARE LIMITED
483,EnhanceAble,ENHANCEABLE
484,Bayis Sheli Limited,BAYIS SHELI LTD
485,Newrays Care Services Ltd,NEWRAYS CARE SERVICES LIMITED
486,Aspire Care And Education Services,ASPIRE CARE AND EDUCATION SERVICES LIMITED
487,Evergreen childrens Home Ltd,EVERGREEN CHILDRENS HOME LTD
488,Altum Residential Care Ltd,ALTUM RESIDENTIAL CARE LTD
489,Chaigeley Educational Foundation,CHAIGELEY EDUCATIONAL FOUNDATION
490,Caldecott Foundation Limited,THE CALDECOTT FOUNDATION LIMITED
491,Holly Lodge Home Limited,HOLLY LODGE HOME LTD
492,Sankofa Care Ltd,SANKOFA CARE LIMITED
493,No. 57 Ltd,NAMECO (NO.57) LIMITED
494,Stepping Stone childrens Homes Ltd,STEPPING STONES CHILDRENS HOMES LIMITED
495,My3 Ltd,MY3 LTD
496,Haven Care Group Limited,HAVEN CARE GROUP LIMITED
497,Watermead Care Ltd,WATERMEAD CARE LTD
498,Partnerships In Care 1 Limited,PARTNERSHIPS IN CARE 1 LIMITED
499,West Cumbria Care And Support,WEST CUMBRIA CARE AND SUPPORT
500,Good News Nwk Ltd,GOOD NEWS NWK LTD
501,Resilience North East Limited,RESILIENCE NORTH EAST LIMITED
502,Little Belsteads Care Home Limited,LITTLE BELSTEADS CARE HOME LIMITED
503,Headway Adolescent Resources Ltd,HEADWAY ADOLESCENT RESOURCES LIMITED
504,Achieving Aspirations Community Interest Company,ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY
505,T-junction childrens Services Ltd,T-JUNCTION CHILDRENS SERVICES LTD
506,Paddock House Limited,PADDOCK HOUSE LIMITED
507,The Norman Laud Association,THE NORMAN LAUD ASSOCIATION
508,The Spring childrens And Transitional Care Ltd,THE SPRING CHILDREN'S AND TRANSITIONAL CARE LTD
509,Oaktree Childcare Ltd,OAKTREE CHILDCARE LIMITED
510,Advising Health And Social-Care Limited,ADVISING HEALTH AND SOCIAL-CARE LIMITED
511,Homes 2 inspire Limited,HOMES 2 INSPIRE LIMITED
512,Smartcare Services Ltd,SMARTCARE SERVICES LIMITED
513,Together For Children Sunderland Limited,TOGETHER FOR CHILDREN SUNDERLAND LIMITED
514,Exitus Childrens Care Ltd,EXITUS CHILDRENS CARE LTD
515,The Good Support Group Ltd,THE GOOD SUPPORT GROUP LIMITED
516,Cameron And Cooper Limited,CAMERON & COOPER LIMITED
517,Curam Domi Solutions Ltd,CURAM DOMI SOLUTIONS LTD
518,Ravensbourne Project,RAVENSBOURNE PROJECT
519,Orchard Children Homes Limited,ORCHARD CHILDREN HOMES LTD
520,swan Cottage Limited,SWAN COTTAGE LIMITED
521,Happy Children Home Limited,HAPPY CHILDREN HOME LIMITED
522,Outbound Care Ltd,OUTBOUND CARE LIMITED
523,Aurora Asd Ltd,AURORA ASD LIMITED
524,Apex childrens Services Limited,APEX CHILDRENS SERVICES LTD
525,Autonomy Plus Limited,AUTONOMY PLUS LIMITED
526,Care 2 Share Limited,CARE 2 SHARE LIMITED
527,Stone lake London Limited,STONE LAKE LONDON LIMITED
528,ACCALIA CARE SERVICES LTD,ACCALIA CARE SERVICES LTD
529,Bay Tree House (gravesend) Limited,BAY TREE HOUSE (GRAVESEND) LIMITED
530,Rite Directions,RITE DIRECTIONS LTD
531,Friends & Co Limited,FRIENDS & CO LIMITED
532,Oasis Adolescent Services Limited,OASIS ADOLESCENT SERVICES LIMITED
533,Solid Global Limited,SOLID GLOBAL LIMITED
534,Ashwood childrens Care Home Ltd,ASHWOOD CHILDRENS CARE HOME LTD
535,Brythan House Limited,BRYTHAN HOUSE LIMITED
536,Flourish (gloucestershire) Limited,FLOURISH (GLOUCESTERSHIRE) LIMITED
537,Unseen Uk,UNSEEN (UK)
538,Care Perspectives Ltd,CARE PERSPECTIVES LIMITED
539,Dynamic Childcare Limited,HORIZON INDEPENDENT CARE LTD
540,Impact For Change Ltd,IMPACT FOR CHANGE LTD
541,Autism Sussex Ltd,AUTISM SUSSEX LIMITED
542,4pureheart Limited,4PUREHEART LIMITED
543,Seaside Care Homes Ltd,SEASIDE CARE HOMES LIMITED
544,Q Plus,Q PLUS PLUS LIMITED
545,Restoration Care & Services Limited,RESTORATION CARE & SERVICES LIMITED
546,Elysium Healthcare Ltd,ELYSIUM HEALTHCARE LIMITED
547,Soteria House Limited,SOTERIA HOUSE LIMITED
548,Headstart Residential Care Ltd,HEADSTART RESIDENTIAL CARE LTD
549,K&g Care Ltd,K & G CARE LTD
550,GS Social Care Solutions Ltd,GS SOCIAL CARE SOLUTIONS LTD
551,Birmingham childrens Trust Limited,BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY
552,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED
553,Tlc Youth Care Ltd,TLC YOUTH CARE LIMITED
554,Keswick Care Ltd,KESWICK CARE LIMITED
555,A & T HOME LIMITED,A & T HOME LIMITED
556,Hennessy Living Group Limited,HENNESSY LIVING GROUP LIMITED
557,Hygge Care Ltd,HYGGE CARE LTD
558,Bryn Melyn Care Limited,BRYN MELYN CARE LIMITED
559,Beacon Childcare,BEACON CHILDCARE LTD
560,Cove Care - Residential Limited,COVE CARE RESIDENTIAL LIMITED
561,Time-Out childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED
562,South West Childcare Services,SOUTH WEST CHILDCARE SERVICES LTD
563,Broadwood Educational Services Limited,KEYS EDUCATIONAL SERVICES LIMITED
564,Stepping Stones Childrens Homes Ltd,STEPPING STONES CHILDRENS HOMES LIMITED
565,Dmr Services Ltd,DMR SERVICES LIMITED
566,My3 Limited,MY3 LIMITED
567,West Cumbria Care and Support,WEST CUMBRIA CARE AND SUPPORT
568,Acorn childrens Home (Branston) Ltd,ACORN CHILDREN'S HOME (BRANSTON) LTD
569,T-Junction childrens Services Ltd,T-JUNCTION CHILDRENS SERVICES LTD
570,Inspire Social Care Services Limited,RESTORATIVE SOCIAL CARE SERVICES LTD.
571,Homes 2 Inspire Limited,HOMES 2 INSPIRE LIMITED
572,Silverlining Childcare Limited,STRENGTHENING SUPPORT SERVICES LTD
573,Proactive Care (Manchester) Ltd,PROACTIVE CARE (MANCHESTER) LTD
574,Gravitas Care Ltd,GRAVITAS CARE LIMITED
575,Apex childrens Services,APEX CHILDRENS SERVICES LTD
576,Albrighton Care,ALBRIGHTON CARE HOMES LTD
577,Skyline Child Care Ltd,SKYLINE CHILD CARE LIMITED
578,Positive Individual Proactive Support Limited,POSITIVE INDIVIDUAL PROACTIVE SUPPORT LIMITED
579,Horizon Transitional Care Ltd,HORIZON TRANSITIONAL CARE LTD
580,Woodford childrens Home Ltd,WOODFORD CHILDREN'S HOME LIMITED
581,Garway Young People Ltd,GARWAY YOUNG PEOPLE LIMITED
582,Nurture Me Psychological Services Limited,NURTURE ME PSYCHOLOGICAL SERVICES LTD
583,Tab Care And Support Limited,TAB CARE AND SUPPORT LTD
584,STEP UP CHILDREN AND FAMILY SERVICES LIMITED,STEP UP CHILDREN AND FAMILY SERVICES LIMITED
585,Options Autism (4) Ltd,OPTIONS AUTISM (4) LIMITED
586,Discovered Limited,DISCOVERED LIMITED
587,Tees-Valley Care Limited,TEES-VALLEY CARE LIMITED
588,Heathcotes Cs Ltd,HEATHCOTES CS LIMITED
589,Birmingham childrens Trust Community Interest Company,BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY
590,Evoke Care Limited,EVOKE CARE GROUP LIMITED
591,The Mulberry Bush Organisation Ltd,THE MULBERRY BUSH ORGANISATION LIMITED
592,Invested Childcare Limited,INVESTED CHILDCARE LTD
593,Acorn childrens Homes (Branston) Ltd,ACORN CHILDREN'S HOME (BRANSTON) LTD
594,All Round Care Ltd,ALL ROUND CARE LTD
595,Inspire Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.
596,De Novo Care Ltd,'DE NOVO' CARE LTD
597,New Roots childrens Services,NEW ROOTS CHILDREN'S SERVICES LIMITED
598,Genesis CTE Ltd,GENESIS CTE LIMITED
599,Blue Elephant Childcare Ltd,BLUE ELEPHANT CHILDCARE LTD
600,Mig House Residential Care Home Ltd,MIG HOUSE RESIDENTIAL CARE HOME LIMITED
601,Aspire House Ltd,ASPIRE HOUSE LTD
602,Smooth stone Care And Education Ltd,SMOOTH STONE CARE AND EDUCATION LIMITED
603,First Blue Healthcare Limited,FIRST BLUE HEALTHCARE LIMITED
604,Lioncare Ltd,LIONCARE LIMITED
605,Milestones Care Homes Ltd,MILESTONES CARE HOMES LTD
606,Ivie Lodge Ltd,IVIE LODGE LIMITED
607,St Elizabeths Centre,ST ELIZABETH'S CENTRE
608,Progressive Care Limited,PROGRESSIVE CARE LIMITED
609,Keys Child Care Limited,KEYS CHILD CARE LIMITED
610,Care Afloat Ltd,CARE AFLOAT LTD.
611,Keys Education Ltd,KEYS EDUCATION LIMITED
612,MacIntyre,MACINTYRE HUDSON LLP
613,Future In Mind,FUTURE IN MIND LIMITED
615,Crystal Care Solutions,CRYSTAL CARE SOLUTIONS LIMITED
616,Full Circle Care Ltd,FULL CIRCLE CARE LTD
617,Able Health Care Ltd,CANE & ABLE HEALTH CARE LIMITED
618,Teen-Works Care Ltd,TEEN-WORKS CARE LIMITED
619,Adecyn Childrens Homes Ltd,ADECYN CHILDREN'S HOME LTD
620,Inspirations Leicestershire Ltd,INSPIRATIONS LEICESTERSHIRE LIMITED
621,Continuum Support Care Services Ltd,CONTINUUM SUPPORT - CARE SERVICES LTD
622,Back On Track childrens Services Se Ltd.,BACK ON TRACK CHILDREN'S SERVICES SE LTD
623,Steps 4 Life Care Limited,STEPS 4 LIFE CARE LTD
624,Absolute Childrens Services Ltd,ABSOLUTE CHILDRENS SERVICES LTD
625,ACCALIA CARE SERVICES LTD.,ACCALIA CARE SERVICES LTD
626,North East Specialist Therapeutic Services Cic,NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC
627,United Health Limited,YCH (NO.2) PLC
628,Clouds childrens Care Ltd,CLOUDS CHILDRENS CARE LIMITED
629,Keys BR Limited,KEYS BR LIMITED
630,SLOUGH CHILDREN FIRST LIMITED,SLOUGH CHILDREN FIRST LIMITED
631,A & T Home Limited,A & T HOME LIMITED
632,Acorn Homes (uk) Limited,ACORN HOMES (UK) LIMITED
633,Next Stage 4 Life Ltd,NEXT STAGE 4 LIFE LTD
634,Inspire Childrens Services,INSPIRE CHILDRENS SERVICES LIMITED
635,Resolute Care,RESOLUTE CARE LTD
636,Keys KIN Ltd,KEYS KIN LIMITED
637,Moonreach Limited,MOONREACH LIMITED
638,Meadows Care Limited,MEADOWS CARE LIMITED
639,Pss Care Group Limited,PSS CARE GROUP LIMITED
640,Beacon Childcare Limited,BEACON CHILDCARE LTD
641,Total Care Matters Ltd,TOTAL CARE MATTERS LTD
642,Lytham Care Ltd,LYTHAM CARE LIMITED
643,Happy Group (uk) Limited,HAPPY GROUP (UK) LIMITED
644,Keys Educational Services Limited,KEYS EDUCATIONAL SERVICES LIMITED
645,Keys Direct Care Limited,KEYS DIRECT CARE LIMITED
646,The Place Young Peoples Company Limited,THE PLACE YOUNG PEOPLES COMPANY LIMITED
647,Wessex College Limited,WESSEX COLLEGE LIMITED
648,Keys Care Ltd,KEYS CARE LIMITED
649,Phoenix Learning & Care Holdings Limited,PHOENIX LEARNING & CARE HOLDINGS LIMITED
650,Blue Mountain Homes Limited,BLUE MOUNTAIN HOMES LTD.
651,Keys Cwc Ltd,KEYS CWC LIMITED
652,New Forest Care,NEW FOREST CARE LIMITED
653,Unity Residential Care Services Limited,UNITY RESIDENTIAL CARE SERVICES LIMITED
654,Homes 2 Inspire Ltd,HOMES 2 INSPIRE LIMITED
655,Orchard Children Homes Ltd,ORCHARD CHILDREN HOMES LTD
656,Apex Childrens Services,APEX CHILDRENS SERVICES LTD
657,Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.
658,Care 2 Share Ltd,CARE 2 SHARE LIMITED
659,4PureHeart Limited,4PUREHEART LIMITED
660,Keys Nhcc Ltd,KEYS NHCC LIMITED
661,Oak Childcare Plus,OAK CHILDCARE PLUS LIMITED
662,Invested Childcare Ltd,INVESTED CHILDCARE LTD
663,Osei Minkah Care Ltd,OSEI MINKAH CARE LIMITED
664,United childrens Services Limited,UNITED CHILDREN'S SERVICES LIMITED
665,Keys QTC Limited,KEYS QTC LIMITED
666,Wrottesley Care Limited,WROTTESLEY CARE LIMITED
667,Joshs Place Limited,AR CURAM LIMITED
668,Willows Lull,WILLOWS LULL
669,Hazelmont Social Care Ltd,HAZELMONT SOCIAL CARE LIMITED
670,Jigsaw Therapeutic Care Limited,JIGSAW THERAPEUTIC CARE LTD
671,Changing Lives Care Group Limited,CHANGING LIVES CARE GROUP LTD
672,Wyncare Limited,WYNN HOMES LIMITED
673,1848 Ltd,CARDIAC SCIENCE HOLDINGS (UK) LIMITED
674,Cornerways Care Ltd,CORNERWAYS CARE LTD
675,Accalia Care Services Ltd,ACCALIA CARE SERVICES LTD
676,Protea Care Ltd,PRO SUPPORT LTD
677,Harmony Childcare Residential Homes Ltd,HARMONY CHILDCARE RESIDENTIAL HOMES LTD
678,A&m Care Solutions Ltd -,A&M CARE SOLUTIONS LTD
679,Heartwood Rsc Ltd,HEARTWOOD RSC LTD
680,Care Today Childrens Services,CARE TODAY (CHILDRENS SERVICES) LTD
681,Vitality Care Residential Limited,VITALITY CARE RESIDENTIAL LIMITED
682,4 Keys Care Ltd,4 KEYS CARE LTD
683,Nuevavida Ne Ltd,NUEVAVIDA NE LTD
684,Brighter Futures For Children,BRIGHTER FUTURES FOR CHILDREN LIMITED
685,St Josephs Specialist Trust,ST JOSEPH'S SPECIALIST TRUST
686,Pcf Residential Childcare Ltd,PCF RESIDENTIAL CHILDCARE LTD
687,Solace Care Partners Limited,SOLACE CARE PARTNERS LTD
688,Cherished And Devoted Care,CHERISHED AND DEVOTED CARE LTD
689,Solace For Children,SOLACE FOR CHILDREN LIMITED
690,Andover And District Mencap,PURPLE OAK SUPPORT
691,YMCA LEICESTERSHIRE,YMCA LEICESTERSHIRE
692,Abbey Green Therapeutic childrens Services Ltd,ABBEY GREEN THERAPEUTIC CHILDREN'S SERVICES LTD
693,Acorn Residential Care Ltd,ACORN RESIDENTIAL CARE LTD
694,Nml Care Ltd,NML CARE LIMITED
695,Leeward Care Ltd,LEEWARD CARE LIMITED
696,Hand In Hand Childcare Ltd,HAND IN HAND CHILDCARE LTD
697,Pelican Care Group Ltd,PELICAN CARE GROUP LTD
698,5ab Care Ltd,5AB CARE LTD
699,Prime Adolescence Limited,PRIME ADOLESCENCE LIMITED
700,ROC FAMILY TIME LIMITED,ROC FAMILY TIME LIMITED
701,SBL CARESERVICES (uk) Ltd,SBL CARESERVICES (UK) LTD
702,CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED,CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED
703,Interactive Development Residential Limited,INTERACTIVE DEVELOPMENT RESIDENTIAL LIMITED
704,Orbis Education And Care Limited,ORBIS EDUCATION AND CARE LIMITED
705,New Futures (children) Services,NEW FUTURES (CHILDREN) SERVICES LTD
706,Investing In Children Cic,INVESTING IN CHILDREN CIC
707,Florinee Homes Ltd,FLORINEE HOMES LTD
708,Longboat Special Education Ltd,LONGBOAT SPECIAL EDUCATION LTD.
709,Absolute childrens Care Limited,ABSOLUTE CHILDRENS CARE LTD
710,Ivory Cottage Ltd,IVORY COTTAGE LTD
711,Homes For Support Ltd,HOMES FOR SUPPORT LTD
712,Jasmine Gardens Private Ltd,JASMINE GARDENS PRIVATE LTD
713,Above And Beyond Residential Care Ltd,ABOVE AND BEYOND RESIDENTIAL CARE LTD
714,Heartwood Rsl Ltd,HEARTWOOD RSL LTD
715,Mutual Care Limited,MUTUAL CARE LIMITED
716,Fusion College Ltd,FUSION COLLEGE LTD
717,Sea Sanctuary,ARC HEALTHCARE SOUTHWEST
718,Higher Hopes Ltd,HIGHER HOPES LTD
719,Cascade (Banks House) Limited,CASCADE (BANKS HOUSE) LIMITED
720,Cf Support Services Limited,CF SUPPORT SERVICES LIMITED
721,Bay View Child Care Ltd,BAY VIEW CHILD CARE LIMITED
722,Brinscall Care Limited,BRINSCALL CARE LIMITED
723,Lighthouse Southwest Ltd,LIGHTHOUSE SOUTHWEST LTD
724,Kattz (yh) Ltd,KATTZ (YH) LTD
725,Tressell Homes Ltd,TRESSELL HOMES LTD
726,Pure Care Homes Ltd,PURE CARE HOMES LTD
727,Proactive Care,PROACTIVE CARE SERVICES LIMITED
728,Footsteps A Path To Change 08 Ltd,FOOTSTEPS A PATH TO CHANGE 08 LIMITED
729,Jasper Education And Support Services Limited,JASPER EDUCATION AND SUPPORT SERVICES LIMITED
730,Octagon Care Ltd,OCTAGON CARE LTD
731,Caretech Community Services Limited,CARETECH COMMUNITY SERVICES LIMITED
732,Keys Stepping Stones Limited,KEYS STEPPING STONES LIMITED
734,Overley Hall Limited,OVERLEY HALL LIMITED
735,Seashell Trust,SEASHELL TRUST
736,After Care Nw Limited,AFTER CARE (N W) LIMITED
737,Keys Active 8 Care Ltd,KEYS ACTIVE 8 CARE LIMITED
738,Keys ACE Limited,KEYS ACE LIMITED
739,The Vine Residential Services (tvrs) Ltd.,THE VINE RESIDENTIAL SERVICES (TVRS) LTD
740,Physis Quantum,PHYSIS QUANTUM LIMITED
741,Oak house Childrens Home Ltd,OAK HOUSE CHILDRENS HOME LTD
742,Serenity Specialist Care Ltd,SERENITY SPECIALIST CARE LIMITED
743,Kattz (AH) Ltd,KATTZ (AH) LTD
744,Cherish childrens Care Ltd,CHERISH CHILDRENS CARE LTD
745,Footsteps To Futures Limited,FOOTSTEPS TO FUTURES LIMITED
746,DMR Services Ltd,DMR SERVICES LIMITED
747,Willows(Devon)Ltd,WILLOWS (DEVON) LIMITED
748,Halliwell Homes,HALLIWELL HOMES LIMITED
749,Union House Nw Ltd,UNION HOUSE NW LTD
750,Calcot Services For Children Ltd,CALCOT SERVICES FOR CHILDREN LIMITED
751,Bay View Child Care,BAY VIEW CHILD CARE LIMITED
752,Thrive Childcare Services Ltd,THRIVE CHILDCARE SERVICES LTD
753,Conquered Limited,CONQUERED LIMITED
754,Champion Children (fig Tree) Limited,CHAMPION CHILDREN (FIG TREE) LIMITED
755,The National Centre For Young People With Epilepsy,THE NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY CHARITABLE TRUST
756,Strive To Care LTD,STRIVE TO CARE LTD
757,Nugent Care 2019,NUGENT CARE 2019
758,Zone Central Ltd,ZONE CENTRAL LTD
759,New Horizons-(stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD
760,Carlar Care Limited,CARLAR CARE LIMITED
761,Sunrise Hill Care Ltd.,SUNRISE HILL CARE LTD
762,Stepping Stones Childrens Homes Limited,STEPPING STONES CHILDRENS HOMES LIMITED
763,Solace Care 7kings Ltd,SOLACE CARE 7KINGS LTD
764,Young Foundations Ltd,YOUNG FOUNDATIONS LIMITED
765,Horizon Care and Education Group Limited,HORIZON CARE AND EDUCATION GROUP LIMITED
766,Smooth Stone Care & Education Ltd,SMOOTH STONE CARE AND EDUCATION LIMITED
767,Inspire Care (UK) Limited,INSPIRE CARE (UK) LIMITED
768,Together for Children Sunderland Limited,TOGETHER FOR CHILDREN SUNDERLAND LIMITED
769,ROC Northwest,ROC NORTHWEST LIMITED
770,Pebbles Care Limited,PEBBLES CARE LIMITED
771,Child First Ltd,CHILD FIRST LIMITED
772,Gracewells Care Limited,GRACEWELLS CARE LIMITED
773,Hopscotch Care Ltd,HOPSCOTCH CARE LIMITED
774,Hillcrest childrens Services (2) Limited,HILLCREST CHILDRENS SERVICES (2) LIMITED
775,Keys QTC,KEYS QTC LIMITED
776,Apex Childrens Services Ltd,APEX CHILDRENS SERVICES LTD
777,Budwood Limited,BUDWOOD LIMITED
778,Stepping Stones Care (Midlands) Limited,STEPPING STONES CARE (MIDLANDS) LIMITED
779,Inspirations Care Limited,INSPIRATION CARE LIMITED
780,Monarch Intervention Services Limited,MONARCH INTERVENTION SERVICES LIMITED
781,Arc HD Services Ltd,ARC HD SERVICES LIMITED
782,Attivo Care Ltd,ATTIVO CARE LIMITED
783,Pasture View Nurturing Homes Ltd,PASTURE VIEW NURTURING HOMES LTD.
784,Advanced Adolescent Care Solutions Ltd,ADVANCED ADOLESCENT CARE SOLUTIONS LIMITED
785,Sw Education & Care,SW EDUCATION & CARE LTD
786,ASTON childrens CARE LTD,ASTON CHILDREN'S CARE LTD
787,Channels & Choices Kent LLP,CHANNELS AND CHOICES KENT LLP
788,Semi-Independent House Ltd,SEMI-INDEPENDENT HOUSE LIMITED
789,Enhanced Young Persons Care Ltd,ENHANCED YOUNG PERSONS' CARE LIMITED
790,New Horizons (nw) ltd,NEW HORIZONS (NW) LTD
791,Achieving Aspirations COMMUNITY INTEREST COMPANY,ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY
792,KESWICK CARE LTD,KESWICK CARE LIMITED
793,Spring Meadow childrens Home,SPRING MEADOW CHILDRENS HOME LTD
794,Laska Care And Education Ltd,LASKA CARE AND EDUCATION LTD
795,South West Complex Care Services,SOUTH WEST COMPLEX CARE SERVICES LTD
796,Gordon Care Services Limited,GORDON CARE SERVICES LIMITED
797,Children & Adolescents Placement Provisions Ltd,CHILDREN & ADOLESCENTS PLACEMENT PROVISIONS LTD
798,Hill Top Childrens Care Limited,HILL TOP CHILDRENS CARE LIMITED
799,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED
800,Anderida Adolescent Care Ltd,ANDERIDA ADOLESCENT CARE LIMITED
801,Next Stage 4 Life LTD,NEXT STAGE 4 LIFE LTD
802,Worcestershire Children First,WORCESTERSHIRE CHILDREN FIRST
803,Homes For Support Limited,HOMES FOR SUPPORT LTD
804,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED
805,XYP Childcare Limited,XYP CHILDCARE LIMITED
806,Swan childrens Homes Ltd,SWAN CHILDREN'S HOMES LTD
807,Sunlight childrens Care Limited,SUNLIGHT CHILDREN'S CARE LIMITED
808,Positive Outcomes Childcare Limited,POSITIVE OUTCOMES CHILDCARE LIMITED
809,Footsteps to Futures Limited,FOOTSTEPS TO FUTURES LIMITED
810,Penn Inspires Ltd,PENN INSPIRES LTD
811,Oak house Childrens Home Ltd,OAK HOUSE CHILDRENS HOME LTD
812,SBL CARESERVICES (UK) LTD,SBL CARESERVICES (UK) LTD
813,Vcare - 24 Limited,VCARE-24 LIMITED
814,Holywell childrens Services Limited,HOLYWELL CHILDREN'S SERVICES LIMITED
815,Aspiration House Ltd,ASPIRATION HOUSE LIMITED
816,A-Triangle Care Ltd,A-TRIANGLE CARE LTD
