"","Organisation","Organisation_fame_search","Company.name"
"282","MIG House Residential Care Home Limited","MIG House Residential Care Home Limited","MIG HOUSE RESIDENTIAL CARE HOME LIMITED"
"283","Westgate Lifestyle Project Limited","Westgate Lifestyle Project Limited","WESTGATE LIFESTYLE PROJECT LIMITED"
"284","Step-a-Side Company Limited","Step-a-Side Company Limited","STEP-A-SIDE COMPANY LIMITED"
"285","Safehaven Residential and Respite Care Limited","Safehaven Residential and Respite Care Limited","SAFEHAVEN RESIDENTIAL AND RESPITE CARE LIMITED"
"286","Sandcastle Care Ltd","Sandcastle Care Ltd","SANDCASTLE CARE LTD"
"287","Norwood Ravenswood","Norwood Ravenswood","NORWOOD RAVENSWOOD"
"288","Harmony Childrens Services","Harmony Childrens Services","HARMONY CHILDREN'S SERVICES LIMITED"
"289","Satash Community Care Project Limited","Satash Community Care Project Limited","SATASH COMMUNITY CARE PROJECT LIMITED"
"290","Kisimul Group Ltd","Kisimul Group Ltd","KISIMUL GROUP LIMITED"
"291","Cruckton Hall Limited","Cruckton Hall Limited","CRUCKTON HALL LIMITED"
"292","Catholic Care (Diocese of Leeds)","Catholic Care (Diocese of Leeds)","CATHOLIC CARE (DIOCESE OF LEEDS)"
"293","The SENAD Group Limited","The SENAD Group Limited","THE SENAD GROUP LIMITED"
"294","Progressive Futures Care Limited","Progressive Futures Care Limited","PROGRESSIVE FUTURES CARE LIMITED"
"295","Amelia's House Limited","Amelias House Limited","AMELIA HOUSE LIMITED"
"296","Stanfield Care Services Limited","Stanfield Care Services Limited","STANFIELD CARE SERVICES LIMITED"
"297","Benjamin Uk Ltd","Benjamin Uk Ltd","BENJAMIN UK LTD"
"298","PJL Healthcare Limited","PJL Healthcare Limited","PJL HEALTHCARE LIMITED"
"299","Horizon Care And Education Group Limited","Horizon Care And Education Group Limited","HORIZON CARE AND EDUCATION GROUP LIMITED"
"300","Teen-Works Care Limited","Teen-Works Care Limited","TEEN-WORKS CARE LIMITED"
"301","Care Assist Children's Services Limited","Care Assist childrens Services Limited","CARE ASSIST CHILDRENS SERVICES LTD"
"302","White Orchid Care Limited","White Orchid Care Limited","WHITE ORCHID CARE LIMITED"
"303","Cherry Trees Limited","Cherry Trees Limited","CHERRY TREES"
"304","Creating Care Choices Limited","Creating Care Choices Limited","CREATING CARE CHOICES LIMITED"
"305","Lynstead Childrens Services Ltd","Lynstead Childrens Services Ltd","LYNSTEAD CHILDRENS SERVICES LTD"
"306","Ruskin Mill Trust Limited","Ruskin Mill Trust Limited","RUSKIN MILL TRUST LIMITED"
"307","Birtenshaw - company number 02978546","Birtenshaw","BIRTENSHAW"
"308","Chances CCFSS Limited","Chances CCFSS Limited","CHANCES CCFSS LIMITED"
"309","Acorn Children's Home (Burton) Ltd","Acorn childrens Home (Burton) Ltd","ACORN CHILDREN'S HOME (BURTON) LTD"
"310","Royal Mencap Society","Royal Mencap Society","ROYAL MENCAP SOCIETY"
"311","Choices 4 Children Ltd","Choices 4 Children Ltd","CHOICES 4 CHILDREN LTD"
"312","Ingleside Children's Home Limited","Ingleside childrens Home Limited","INGLESIDE CHILDREN'S HOME LTD"
"313","St Hill Establishments Ltd","St Hill Establishments Ltd","ST HILL ESTABLISHMENTS LTD"
"314","Flying Spur Limited","Flying Spur Limited","FLYING SPUR LIMITED"
"315","Northern Life Care Limited T/A UBU","Northern Life Care Limited","NORTHERN LIFE CARE LIMITED"
"316","The Senad Group Limited","The Senad Group Limited","THE SENAD GROUP LIMITED"
"317","Active 8 Care Ltd","Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED"
"318","Aston Children's Care Ltd","Aston childrens Care Ltd","ASTON CHILDREN'S CARE LTD"
"319","New Start","New Start","NEW START HIGHLAND"
"320","Child First Limited","Child First Limited","CHILD FIRST LIMITED"
"321","Hesley Services Limited","Hesley Services Limited","HESLEY SERVICES LIMITED"
"322","Heartwood Residential Services Ltd","Heartwood Residential Services Ltd","HEARTWOOD RESIDENTIAL SERVICES LTD"
"323","National Autistic Society","National Autistic Society","NATIONAL AUTISTIC SOCIETY(THE)"
"324","Footsteps Care Homes Limited","Footsteps Care Homes Limited","FOOTSTEPS CARE HOMES LIMITED"
"325","Duty of Care Limited","Duty of Care Limited","DUTY OF CARE LIMITED"
"326","Diverse Abilities Plus Ltd.","Diverse Abilities Plus Ltd.","DIVERSE ABILITIES PLUS LTD"
"327","The St Christopher School","The St Christopher School","SEN TRUST SOUTHEND"
"328","Country Care Childrens Homes Limited","Country Care Childrens Homes Limited","COUNTRY CARE CHILDRENS HOMES LTD"
"329","Essandore Limited","Essandore Limited","ESSANDORE LIMITED"
"330","Anna House Limited","Anna House Limited","ANNA HOUSE LIMITED"
"331","Cherry Cottage Limited","Cherry Cottage Limited","CHERRY COTTAGE LIMITED"
"332","Rushcliffe Specialist Schools (Mickleover) Ltd","Rushcliffe Specialist Schools (Mickleover) Ltd","RUSHCLIFFE SPECIALIST SCHOOLS (MICKLEOVER) LIMITED"
"333","Chartwell Care Services Ltd","Chartwell Care Services Ltd","CHARTWELL CARE SERVICES LIMITED"
"334","Options Autism (5) Limited","Options Autism (5) Limited","OPTIONS AUTISM (5) LIMITED"
"335","Stepping Stones Children's Services Limited","Stepping Stones childrens Services Limited","STEPPING STONES CHILDREN'S SERVICES LTD"
"336","John-Edwards Care Homes Ltd","John-Edwards Care Homes Ltd","JOHN-EDWARDS CARE HOMES LTD"
"337","Carehome Limited","Carehome Limited","ANCHOR CAREHOMES LIMITED"
"338","Ownlife Limited 02932099","Ownlife Limited","OWNLIFE LIMITED"
"339","PCT Care Services Limited","PCT Care Services Limited","PCT CARE SERVICES LIMITED"
"340","New Horizons (stockport) Ltd","New Horizons (stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD"
"341","Nestlings Care Ltd","Nestlings Care Ltd","NESTLINGS CARE LTD"
"342","Continuum Support - Care Services Ltd","Continuum Support - Care Services Ltd","CONTINUUM SUPPORT - CARE SERVICES LTD"
"343","Jamores Limited","Jamores Limited","JAMORES LIMITED"
"344","After Care (N W) Limited","After Care (N W) Limited","AFTER CARE (N W) LIMITED"
"345","R Place Limited","R Place Limited","R PLACE LIMITED"
"346","Kites Children Service's Ltd","Kites Children Services Ltd","KITES CHILDRENS SERVICES LIMITED"
"347","Autism Initiatives (UK)","Autism Initiatives (UK)","AUTISM INITIATIVES (UK)"
"348","Hamelin Trust","Hamelin Trust","HAMELIN TRUST"
"349","Lytham Care Limited","Lytham Care Limited","LYTHAM CARE LIMITED"
"350","Branas Isaf (holdings) Limited","Branas Isaf (holdings) Limited","BRANAS ISAF (HOLDINGS) LIMITED"
"351","Choices Home For Children Limited","Choices Home For Children Limited","CHOICES HOME FOR CHILDREN LIMITED"
"352","Praxis Care","Praxis Care","PRAXIS CARE"
"353","Chailey Heritage Foundation","Chailey Heritage Foundation","CHAILEY HERITAGE FOUNDATION"
"354","Greenacre Care Services Limited","Greenacre Care Services Limited","GREENACRE CARE SERVICES LIMITED"
"355","The Place Young Peoples Company","The Place Young Peoples Company","THE PLACE YOUNG PEOPLES COMPANY LIMITED"
"356","White Lodge Centre","White Lodge Centre","WHITE LODGE CENTRE"
"357","What's Out There Limited","Whats Out There Limited","WHAT'S OUT THERE LIMITED"
"358","Tulip Care Two Limited","Tulip Care Two Limited","TULIP CARE TWO LIMITED"
"359","The Chiltern Centre for Disabled Children Limited","The Chiltern Centre for Disabled Children Limited","THE CHILTERN CENTRE LIMITED"
"360","Broadlands Hall Ltd","Broadlands Hall Ltd","BROADLANDS HALL LIMITED"
"361","Oakfields Children's Care Limited","Oakfields childrens Care Limited","OAKFIELDS CHILDREN'S CARE LIMITED"
"362","Back on Track Children's Services SE Ltd","Back on Track childrens Services SE Ltd","BACK ON TRACK CHILDREN'S SERVICES SE LTD"
"363","Quality Time Care Ltd","Quality Time Care Ltd","KEYS QTC LIMITED"
"364","Albrighton Care Ltd","Albrighton Care Ltd","ALBRIGHTON CARE LIMITED"
"365","Positive Steps (Care Services) Limited","Positive Steps (Care Services) Limited","POSITIVE STEPS (CARE SERVICES) LIMITED"
"366","Young Alliance Limited","Young Alliance Limited","YOUNG ALLIANCE LIMITED"
"367","Young Foundations Limited","Young Foundations Limited","YOUNG FOUNDATIONS LIMITED"
"368","Living Life (UK) Limited","Living Life (UK) Limited","LIVING LIFE (UK) LIMITED"
"369","Kedleston (Wings Education) Limited","Kedleston (Wings Education) Limited","KEDLESTON (WINGS EDUCATION) LIMITED"
"370","Kids","Kids","KIDS PLANET DAY NURSERIES LIMITED"
"371","Oasis Young People's Care Services (uk) Ltd","OASIS CARE SERVICES LIMITED","OASIS CARE SERVICES LIMITED"
"372","Adecyn Children's Home Ltd","Adecyn childrens Home Ltd","ADECYN CHILDREN'S HOME LTD"
"373","Tumblewood Project Ltd","Tumblewood Project Ltd","WITHERSLACK WILTSHIRE LIMITED"
"374","Care Haven (UK) Ltd","Care Haven (UK) Ltd","CARE HAVEN (UK) LTD"
"375","The Roman Catholic Dioscese of Arundel and Brighton","The Roman Catholic Dioscese of Arundel and Brighton",NA
"376","The Cuckfield Care Consultancy Limited","The Cuckfield Care Consultancy Limited","THE CUCKFIELD CARE CONSULTANCY LIMITED"
"377","Building Bridges Care Homes Ltd","Building Bridges Care Homes Ltd","BUILDING BRIDGES (CARE HOMES) LIMITED"
"378","Nurture Childcare Services Ltd","Nurture Childcare Services Ltd","NURTURE CHILDCARE SERVICES LTD"
"379","Oak House Childrens Homes Ltd","Oak House Childrens Homes Ltd","OAK HOUSE CHILDRENS HOME LTD"
"380","Eagle Children's Home","Eagle childrens Home","EAGLE CHILDRENS HOME LIMITED"
"381","The Sheiling Special Education Trust","The Sheiling Special Education Trust","THE SHEILING SPECIAL EDUCATION TRUST"
"382","2nd Nurture Ltd","2nd Nurture Ltd","2ND NURTURE LIMITED"
"383","Talbot House School Newcastle Upon Tyne","Talbot House School Newcastle Upon Tyne","TALBOT HOUSE CHILDREN'S CHARITY LIMITED"
"384","CASC (Barrow) Limited","CASC (Barrow) Limited","CASC (BARROW) LIMITED"
"385","Langley House (Harwich) Limited","Langley House (Harwich) Limited","LANGLEY HOUSE (HARWICH) LIMITED"
"386","Crusoe Care Limited 06843979","Crusoe Care Limited","CRUSOE CARE LIMITED"
"387","Inspirations Leicestershire Limited comp number 07765916","Inspirations Leicestershire Limited","INSPIRATIONS LEICESTERSHIRE LIMITED"
"388","Livability","Livability","LIVABILITY"
"389","Island Choices Ltd","Island Choices Ltd","ISLAND CHOICES LTD"
"390","Silverlining Childcare","Silverlining Childcare","STRENGTHENING SUPPORT SERVICES LTD"
"391","Social Care Services Limited","Social Care Services Limited","SOCIAL CARE SERVICES LIMITED"
"392","Laurel Leaf Homes Ltd","Laurel Leaf Homes Ltd","LAUREL LEAF HOMES LTD"
"393","J & R Care Limited","J & R Care Limited","J & R CARE LIMITED"
"394","Arronbeth Ltd","Arronbeth Ltd","ARRONBETH LTD"
"395","Able Health Care Limited","Able Health Care Limited","CANE & ABLE HEALTH CARE LIMITED"
"396","Causeway Care Homes Ltd","Causeway Care Homes Ltd","CAUSEWAY CARE HOMES LTD"
"397","Tulip Care One Limited t/as TulipCare","Tulip Care One Limited","TULIP CARE ONE LIMITED"
"398","The Rose Road Association","The Rose Road Association","THE ROSE ROAD ASSOCIATION"
"399","Adeza Care Homes Limited","Adeza Care Homes Limited","ADEZA CARE HOMES LIMITED"
"400","A Significant Other Limited","A Significant Other Limited","A SIGNIFICANT OTHER LIMITED"
"401","Care 4 Children Residential Services Ltd","Care 4 Children Residential Services Ltd","YOUR CHAPTER LIMITED"
"402","Absolute Children's Services Ltd","Absolute childrens Services Ltd","ABSOLUTE CHILDRENS SERVICES LTD"
"403","Beacon Child Care Ltd","BEACON CHILDCARE LTD","BEACON CHILDCARE LTD"
"404","Pathway Care Solutions Group Limited","Pathway Care Solutions Group Limited","PATHWAY CARE SOLUTIONS GROUP LIMITED"
"405","The Daughters of the Cross of Liege","The Daughters of the Cross of Liege","THE CONGREGATION OF THE DAUGHTERS OF THE CROSS OF LIEGE"
"406","Aurora Care Young Peoples Services","Aurora Care Young Peoples Services","AURORA CARE YOUNG PEOPLE'S SERVICES LIMITED"
"407","Footsteps To Futures Ltd","Footsteps To Futures Ltd","FOOTSTEPS TO FUTURES LIMITED"
"408","My Life-My Choice Limited","My Life-My Choice Limited","MY LIFE CHOICE LTD"
"409","Clouds Children's Care Limited","Clouds childrens Care Limited","CLOUDS CHILDRENS CARE LIMITED"
"410","Exeter Royal Academy For Deaf Education","Exeter Royal Academy For Deaf Education","EXETER ROYAL ACADEMY FOR DEAF EDUCATION."
"411","Barford Children's Services Limited","Barford childrens Services Limited","BARFORD CHILDREN'S SERVICES LIMITED"
"412","Footsteps Care Limited","Footsteps Care Limited","FOOTSTEPS CARE LIMITED"
"413","Kartikeya Solutions Limited","Kartikeya Solutions Limited","KARTIKEYA SOLUTIONS LIMITED"
"414","Platform Childcare Ltd","Platform Childcare Ltd","PLATFORM CHILDCARE LTD"
"415","Inmind Childrens Services Limited","Inmind Childrens Services Limited","INMIND CHILDREN'S SERVICES LIMITED"
"416","RNIB Charity","RNIB Charity","RNIB CHARITY"
"417","South West Childcare Services Ltd","South West Childcare Services Ltd","SOUTH WEST CHILDCARE SERVICES LTD"
"418","Approach-Development (NE) Ltd","Approach-Development (NE) Ltd","APPROACH-DEVELOPMENT (NE) LTD."
"419","Family Child Care Ltd","Family Child Care Ltd","HAPPY FAMILIES CHILD CARE LIMITED"
"420","Kedleston (High Peak School) Limited","Kedleston (High Peak School) Limited","KEDLESTON (HIGH PEAK SCHOOL) LIMITED"
"421","Park Blue Homes Limited","Park Blue Homes Limited","PARK BLUE HOMES LIMITED"
"422","Serenity Care Homes Ltd","Serenity Care Homes Ltd","SERENITY CARE HOMES LTD"
"423","MacIntyre Academies","MacIntyre Academies","MACINTYRE ACADEMIES"
"424","Kattz Ltd","Kattz (ah) Ltd","KATTZ (AH) LTD"
"425","Positive Outcomes Childcare Ltd","Positive Outcomes Childcare Ltd","POSITIVE OUTCOMES CHILDCARE LIMITED"
"426","North East Specialist Therapeutic Services CIC","North East Specialist Therapeutic Services CIC","NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC"
"427","Safe Base Care Limited","Safe Base Care Limited","SAFE BASE CARE LIMITED"
"428","Hennessy Living Group Ltd","Hennessy Living Group Ltd","HENNESSY LIVING GROUP LIMITED"
"429","White Orchid Marston Moretaine Limited","White Orchid Marston Moretaine Limited","WHITE ORCHID MARSTON MORETAINE LIMITED"
"430","Cambian Asperger Syndrome Services Limited","Cambian Asperger Syndrome Services Limited","CAMBIAN ASPERGER SYNDROME SERVICES LIMITED"
"431","Exceptional Care Ltd","Exceptional Care Ltd","EXCEPTIONAL CARE LIMITED"
"432","Life Change Care Limited","Life Change Care Limited","LIFE CHANGE CARE LTD"
"433","Carbrey Care Ltd","Carbrey Care Ltd","CARBREY CARE LTD"
"434","Holistic Approach Ltd","Holistic Approach Ltd","HOLISTIC APPROACH LTD"
"435","Icare Children's Services Ltd","Icare childrens Services Ltd","ICARE CHILDRENS SERVICES LIMITED"
"436","Tlc Youth Care Limited","Tlc Youth Care Limited","TLC YOUTH CARE LIMITED"
"437","Slough Children's Services Trust Limited (09487106)","SLOUGH CHILDREN FIRST LIMITED ()","SLOUGH CHILDREN FIRST LIMITED"
"438","Lonsdale Care Ltd","Lonsdale Care Ltd","LONSDALE CARE LTD"
"439","Devon & Cornwall Autistic Community Trust (t/a Spectrum)","Devon & Cornwall Autistic Community Trust","DEVON & CORNWALL AUTISTIC COMMUNITY TRUST"
"440","A&t Home Ltd","A&t Home Ltd","A & T HOMES LIMITED"
"441","Quality Care Homes (uk) Limited","Quality Care Homes (uk) Limited","QUALITY CARE HOMES (UK) LIMITED"
"442","Sunderland Care And Support Limited","Sunderland Care And Support Limited","SUNDERLAND CARE AND SUPPORT LIMITED"
"443","Kennet Care Limited","Kennet Care Limited","KENNET CARE LIMITED"
"444","South West Mental Health Ltd","South West Mental Health Ltd","1848 LTD"
"445","Next Stage 4 Life","Next Stage 4 Life","NEXT STAGE 4 LIFE LTD"
"446","River Valley Care Ltd","River Valley Care Ltd","RIVER VALLEY CARE LIMITED"
"447","Headway House Limited","Headway House Limited","HEADWAY HOUSE LIMITED"
"448","Resolute Care Ltd","Resolute Care Ltd","RESOLUTE CARE LTD"
"449","Hygge Care Limited","Hygge Care Limited","HYGGE CARE LTD"
"450","Potensial Ltd","Potensial Ltd","POTENSIAL LIMITED"
"451","Broadwood Residential Ltd","Broadwood Residential Ltd","KEYS BR LIMITED"
"452","Kingdom Care Childrens Homes Ltd","Kingdom Care Childrens Homes Ltd","KEYS KIN LIMITED"
"453","Harmony Residential Homes Ltd","Harmony Residential Homes Ltd","HARMONY RESIDENTIAL HOMES LTD"
"454","Thornleigh Camphill Communities Ltd","Thornleigh Camphill Communities Ltd","THORNLEIGH CAMPHILL COMMUNITIES LIMITED"
"455","Solent Child Care Ltd","Solent Child Care Ltd","SOLENT CHILD CARE LIMITED"
"456","Phoenix Care And Education Ltd","Phoenix Care And Education Ltd","PHOENIX CARE & EDUCATION LTD"
"457","Personal Security Service Ltd","Personal Security Service Ltd","PERSONAL SECURITY SERVICE LTD"
"458","Aurora Care and Education Opco Limited","Aurora Care and Education Opco Limited","AURORA CARE AND EDUCATION OPCO LIMITED"
"459","Sherlock Healthcare Services Ltd","Sherlock Healthcare Services Ltd","SHERLOCK HEALTHCARE SERVICES LTD"
"460","In Safe Hands Care Ltd","In Safe Hands Care Ltd","IN SAFE HANDS CARE LTD"
"461","G.V Kids Ltd","G.V Kids Ltd","G.V KIDS LTD"
"462","Friends Together Care Homes Ltd","Friends Together Care Homes Ltd","FRIENDS TOGETHER CARE HOMES LTD"
"463","The Percy Hedley Foundation","The Percy Hedley Foundation","THE PERCY HEDLEY FOUNDATION"
"464","Children Of The Mangrove Limited","Children Of The Mangrove Limited","CHILDREN OF THE MANGROVE LIMITED"
"465","Priory Education Services Limited","Priory Education Services Limited","ASPRIS CHILDREN'S SERVICES LIMITED"
"466","Happy Group (UK) Limited","Happy Group (UK) Limited","HAPPY GROUP (UK) LIMITED"
"467","Care 4 Children","Care 4 Children","YOUR CHAPTER HOLDINGS LIMITED"
"468","Care 4 Children Holdco Limited","Care 4 Children Holdco Limited","YOUR CHAPTER HOLDINGS LIMITED"
"469","Treehouse Educare Limited","Treehouse Educare Limited","TREEHOUSE EDUCARE LIMITED"
"470","Future Focused Ltd","Future Focused Ltd","FUTURE FOCUSED LTD"
"471","Headstart Care LLP","Headstart Care LLP","HEADSTART CARE LLP"
"472","Keir Lock Children's Homes Ltd","Keir Lock childrens Homes Ltd","KEIR LOCK CHILDRENS HOMES LTD"
"473","Interactive Development Support Limited","Interactive Development Support Limited","INTERACTIVE DEVELOPMENT SUPPORT LIMITED"
"474","Fonjocks Social Work Practice Limited","Fonjocks Social Work Practice Limited","FONJOCK'S SOCIAL WORK PRACTICE LIMITED"
"475","Inspire Care (uk) Limited","Inspire Care (uk) Limited","INSPIRE CARE (UK) LIMITED"
"476","Netheredge Care Limited","Netheredge Care Limited","NETHEREDGE CARE LIMITED"
"477","EnhanceAble","EnhanceAble","ENHANCEABLE"
"478","Bayis Sheli Limited","Bayis Sheli Limited","BAYIS SHELI LTD"
"479","Newrays Care Services Ltd","Newrays Care Services Ltd","NEWRAYS CARE SERVICES LIMITED"
"480","Aspire Care And Education Services","Aspire Care And Education Services","ASPIRE CARE AND EDUCATION SERVICES LIMITED"
"481","Evergreen Children's Home Ltd","Evergreen childrens Home Ltd","EVERGREEN CHILDRENS HOME LTD"
"482","Altum Residential Care Ltd","Altum Residential Care Ltd","ALTUM RESIDENTIAL CARE LTD"
"483","Chaigeley Educational Foundation","Chaigeley Educational Foundation","CHAIGELEY EDUCATIONAL FOUNDATION"
"484","Caldecott Foundation Limited","Caldecott Foundation Limited","THE CALDECOTT FOUNDATION LIMITED"
"485","Holly Lodge Home Limited","Holly Lodge Home Limited","HOLLY LODGE HOME LTD"
"486","Sankofa Care Ltd","Sankofa Care Ltd","SANKOFA CARE LIMITED"
"487","No. 57 Ltd","No. 57 Ltd","NAMECO (NO.57) LIMITED"
"488","Stepping Stone Children's Homes Ltd","Stepping Stone childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED"
"489","My3 Ltd","My3 Ltd","MY3 LTD"
"490","Haven Care Group Limited","Haven Care Group Limited","HAVEN CARE GROUP LIMITED"
"491","Watermead Care Ltd","Watermead Care Ltd","WATERMEAD CARE LTD"
"492","Partnerships In Care 1 Limited","Partnerships In Care 1 Limited","PARTNERSHIPS IN CARE 1 LIMITED"
"493","West Cumbria Care And Support","West Cumbria Care And Support","WEST CUMBRIA CARE AND SUPPORT"
"494","Good News Nwk Ltd","Good News Nwk Ltd","GOOD NEWS NWK LTD"
"495","Resilience North East Limited","Resilience North East Limited","RESILIENCE NORTH EAST LIMITED"
"496","Little Belsteads Care Home Limited","Little Belsteads Care Home Limited","LITTLE BELSTEADS CARE HOME LIMITED"
"497","Headway Adolescent Resources Ltd","Headway Adolescent Resources Ltd","HEADWAY ADOLESCENT RESOURCES LIMITED"
"498","Achieving Aspirations Community Interest Company","Achieving Aspirations Community Interest Company","ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY"
"499","Tjunction Children's Services Limited","T-junction childrens Services Ltd","T-JUNCTION CHILDRENS SERVICES LTD"
"500","Paddock House Limited","Paddock House Limited","PADDOCK HOUSE LIMITED"
"501","The Norman Laud Association","The Norman Laud Association","THE NORMAN LAUD ASSOCIATION"
"502","The Spring Children's And Transitional Care Ltd","The Spring childrens And Transitional Care Ltd","THE SPRING CHILDREN'S AND TRANSITIONAL CARE LTD"
"503","Oaktree Childcare Ltd","Oaktree Childcare Ltd","OAKTREE CHILDCARE LIMITED"
"504","Advising Health And Social-Care Limited","Advising Health And Social-Care Limited","ADVISING HEALTH AND SOCIAL-CARE LIMITED"
"505","Homes2inspire Limited","Homes 2 inspire Limited","HOMES 2 INSPIRE LIMITED"
"506","Smartcare Services Ltd","Smartcare Services Ltd","SMARTCARE SERVICES LIMITED"
"507","Together For Children Sunderland Limited","Together For Children Sunderland Limited","TOGETHER FOR CHILDREN SUNDERLAND LIMITED"
"508","Exitus Childrens Care Ltd","Exitus Childrens Care Ltd","EXITUS CHILDRENS CARE LTD"
"509","The Good Support Group Ltd","The Good Support Group Ltd","THE GOOD SUPPORT GROUP LIMITED"
"510","Cameron And Cooper Limited","Cameron And Cooper Limited","CAMERON & COOPER LIMITED"
"511","Curam Domi Solutions Ltd","Curam Domi Solutions Ltd","CURAM DOMI SOLUTIONS LTD"
"512","Ravensbourne Project","Ravensbourne Project","RAVENSBOURNE PROJECT"
"513","Orchard Children Homes Limited","Orchard Children Homes Limited","ORCHARD CHILDREN HOMES LTD"
"514"," swan Cottage Limited","swan Cottage Limited","SWAN COTTAGE LIMITED"
"515","Happy Children Home Limited","Happy Children Home Limited","HAPPY CHILDREN HOME LIMITED"
"516","Outbound Care Ltd","Outbound Care Ltd","OUTBOUND CARE LIMITED"
"517","Aurora Asd Ltd","Aurora Asd Ltd","AURORA ASD LIMITED"
"518","Apex Children's Services Limited","Apex childrens Services Limited","APEX CHILDRENS SERVICES LTD"
"519","Autonomy Plus Limited","Autonomy Plus Limited","AUTONOMY PLUS LIMITED"
"520","Care 2 Share Limited","Care 2 Share Limited","CARE 2 SHARE LIMITED"
"521","Stonelake London Limited","Stone lake London Limited","STONE LAKE LONDON LIMITED"
"522","Juvenis Care Services Ltd","ACCALIA CARE SERVICES LTD","ACCALIA CARE SERVICES LTD"
"523","Bay Tree House (gravesend) Limited","Bay Tree House (gravesend) Limited","BAY TREE HOUSE (GRAVESEND) LIMITED"
"524","Rite Directions","Rite Directions","RITE DIRECTIONS LTD"
"525","Friends & Co Limited","Friends & Co Limited","FRIENDS & CO LIMITED"
"526","Oasis Adolescent Services Limited","Oasis Adolescent Services Limited","OASIS ADOLESCENT SERVICES LIMITED"
"527","Solid Global Limited","Solid Global Limited","SOLID GLOBAL LIMITED"
"528","Ashwood Children's Care Home Ltd","Ashwood childrens Care Home Ltd","ASHWOOD CHILDRENS CARE HOME LTD"
"529","Brythan House Limited","Brythan House Limited","BRYTHAN HOUSE LIMITED"
"530","Flourish (gloucestershire) Limited","Flourish (gloucestershire) Limited","FLOURISH (GLOUCESTERSHIRE) LIMITED"
"531","Unseen Uk","Unseen Uk","UNSEEN (UK)"
"532","Care Perspectives Ltd","Care Perspectives Ltd","CARE PERSPECTIVES LIMITED"
"533","Dynamic Childcare Limited","Dynamic Childcare Limited","HORIZON INDEPENDENT CARE LTD"
"534","Impact For Change Ltd","Impact For Change Ltd","IMPACT FOR CHANGE LTD"
"535","Autism Sussex Ltd","Autism Sussex Ltd","AUTISM SUSSEX LIMITED"
"536","4pureheart Limited","4pureheart Limited","4PUREHEART LIMITED"
"537","Seaside Care Homes Ltd","Seaside Care Homes Ltd","SEASIDE CARE HOMES LIMITED"
"538","Q Plus","Q Plus","Q PLUS PLUS LIMITED"
"539","Restoration Care & Services Limited","Restoration Care & Services Limited","RESTORATION CARE & SERVICES LIMITED"
"540","Elysium Healthcare Ltd","Elysium Healthcare Ltd","ELYSIUM HEALTHCARE LIMITED"
"541","Soteria House Limited","Soteria House Limited","SOTERIA HOUSE LIMITED"
"542","Headstart Residential Care Ltd","Headstart Residential Care Ltd","HEADSTART RESIDENTIAL CARE LTD"
"543","K&g Care Ltd","K&g Care Ltd","K & G CARE LTD"
"544","GS Social Care Solutions Ltd","GS Social Care Solutions Ltd","GS SOCIAL CARE SOLUTIONS LTD"
"545","Birmingham Children's Trust Limited","Birmingham childrens Trust Limited","BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY"
"546","Cambian Childcare Limited","Cambian Childcare Limited","CAMBIAN CHILDCARE LIMITED"
"547","Tlc Youth Care Ltd","Tlc Youth Care Ltd","TLC YOUTH CARE LIMITED"
"548","Keswick Care Ltd","Keswick Care Ltd","KESWICK CARE LIMITED"
"549","A+t Home","A & T HOME LIMITED","A & T HOME LIMITED"
"550","Hennessy Living Group Limited","Hennessy Living Group Limited","HENNESSY LIVING GROUP LIMITED"
"551","Hygge Care Ltd","Hygge Care Ltd","HYGGE CARE LTD"
"552","Bryn Melyn Care Limited","Bryn Melyn Care Limited","BRYN MELYN CARE LIMITED"
"553","Beacon Childcare","Beacon Childcare","BEACON CHILDCARE LTD"
"554","Cove Care - Residential Limited","Cove Care - Residential Limited","COVE CARE RESIDENTIAL LIMITED"
"555","Time-Out Children's Homes Ltd","Time-Out childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED"
"556","South West Childcare Services","South West Childcare Services","SOUTH WEST CHILDCARE SERVICES LTD"
"557","Broadwood Educational Services Limited","Broadwood Educational Services Limited","KEYS EDUCATIONAL SERVICES LIMITED"
"558","Stepping Stones Childrens Homes Ltd","Stepping Stones Childrens Homes Ltd","STEPPING STONES CHILDRENS HOMES LIMITED"
"559","Dmr Services Ltd","Dmr Services Ltd","DMR SERVICES LIMITED"
"560","My3 Limited","My3 Limited","MY3 LIMITED"
"561","West Cumbria Care and Support","West Cumbria Care and Support","WEST CUMBRIA CARE AND SUPPORT"
"562","Acorn Children's Home (Branston) Ltd","Acorn childrens Home (Branston) Ltd","ACORN CHILDREN'S HOME (BRANSTON) LTD"
"563","T-Junction Children's Services Ltd","T-Junction childrens Services Ltd","T-JUNCTION CHILDRENS SERVICES LTD"
"564","Inspire Social Care Services Limited","Inspire Social Care Services Limited","RESTORATIVE SOCIAL CARE SERVICES LTD."
