"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"788","For-profit","SC376211",6,"STAFFORDSHIRE","CareTech Community Services Limited","12/05/2008","Good",2014-10-07,1,"2014-01-01",NA,NA
"789","Local Authority","SC062573",7,"WAKEFIELD","Wakefield Metropolitan District Council","20/01/2005","Good",2014-10-07,1,"2014-01-01","2023-03-26",NA
"790","For-profit","SC064182",6,"REDBRIDGE","Lodge Group Care UK Limited","28/06/2005","Good",2014-10-06,1,"2014-01-01",NA,NA
"791","Local Authority","SC034152",5,"NORTH YORKSHIRE","North Yorkshire County Council",NA,"Good",2014-10-06,1,"2014-01-01","2019-01-31",NA
"792","For-profit","SC034197",5,"LANCASHIRE",NA,NA,"Good",2014-10-06,1,"2014-01-01","2016-11-15",NA
"793","For-profit","SC044745",6,"STAFFORDSHIRE","The Partnership of Care Today Children's Services","29/09/2003","Good",2014-10-03,1,"2014-01-01",NA,NA
"794","Local Authority","SC064515",4,"OLDHAM",NA,NA,"Good",2014-10-03,1,"2014-01-01","2016-03-31",NA
"795","For-profit","SC020545",5,"TELFORD AND WREKIN","Castle Homes Care Ltd","16/12/1998","Good",2014-10-03,1,"2014-01-01",NA,NA
"796","For-profit","SC358349",1,"CALDERDALE","Time-Out Children's Homes Limited","26/03/2007","Good",2014-10-03,1,"2014-01-01",NA,NA
"797","For-profit","SC068803",4,"KENT","Ethelbert Specialist Homes Limited","21/11/2006","Good",2014-10-02,1,"2014-01-01",NA,NA
"798","For-profit","SC434223",2,"WORCESTERSHIRE","Keys Specialist Residential Children's Services Ltd","22/08/2011","Outstanding",2014-10-02,1,"2014-01-01",NA,NA
"799","For-profit","SC456419",1,"ROCHDALE","Cambian Childcare Ltd","18/02/2013","Good",2014-10-02,1,"2014-01-01",NA,NA
"800","For-profit","SC355902",6,"WEST SUSSEX",NA,NA,"Good",2014-10-02,1,"2014-01-01","2016-03-24",NA
"801","For-profit","SC044562",39,"LINCOLNSHIRE","Kisimul Group Limited","25/07/2003","Outstanding",2014-10-01,1,"2014-01-01",NA,NA
"802","Local Authority","SC038070",8,"MEDWAY","Medway Council","30/03/2004","Good",2014-10-01,1,"2014-01-01","2020-02-07",NA
"803","Third Sector","SC013144",6,"OXFORDSHIRE","Barnardo's","01/01/2001","Outstanding",2014-10-01,1,"2014-01-01",NA,NA
"804","For-profit","SC014234",7,"BRIGHTON AND HOVE",NA,NA,"Good",2014-10-01,1,"2014-01-01","2017-06-16",NA
"805","Local Authority","SC039215",6,"HAMPSHIRE",NA,NA,"Outstanding",2014-10-01,1,"2014-01-01","2017-11-08",NA
"806","Third Sector","SC404994",4,"SANDWELL","St Christopher's Fellowship","06/08/2010","Good",2014-10-01,1,"2014-01-01",NA,NA
"807","For-profit","SC067899",7,"OLDHAM","Cambian Childcare Ltd","28/07/2006","Good",2014-10-01,1,"2014-01-01",NA,NA
"808","For-profit","SC374405",4,"NOTTINGHAM","Pathway Care Solutions Ii Ltd","03/06/2008","Good",2014-10-01,1,"2014-01-01",NA,NA
"809","For-profit","SC408263",5,"NORTHAMPTONSHIRE",NA,NA,"Good",2014-10-01,1,"2014-01-01","2017-05-24",NA
"810","For-profit","SC473639",6,"CAMDEN","Area Camden Ltd","07/02/2014","Good",2014-10-01,1,"2014-01-01",NA,NA
"811","For-profit","SC476261",5,"SHROPSHIRE","Cambian Childcare Ltd","01/08/2014","Outstanding",2014-10-01,1,"2014-08-01","2021-05-15",NA
"812","Local Authority","SC035339",6,"OLDHAM","Oldham Metropolitan Borough Council","22/01/2004","Outstanding",2014-09-30,1,"2014-01-01",NA,NA
"813","Local Authority","SC394101",4,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","23/06/2009","Outstanding",2014-09-30,1,"2014-01-01",NA,NA
"814","Local Authority","SC036157",8,"KINGSTON UPON HULL","Kingston Upon Hull City Council","01/04/2003","Good",2014-09-30,1,"2014-01-01",NA,NA
"815","For-profit","SC059494",6,"LIVERPOOL",NA,NA,"Outstanding",2014-09-30,1,"2014-01-01","2016-12-02",NA
"816","For-profit","SC386522",3,"WARRINGTON","Keys Education Limited","15/01/2009","Good",2014-09-30,1,"2014-01-01",NA,NA
"817","For-profit","SC389180",6,"SOUTHAMPTON","Keys Group Progressive Care & Education Limited","17/02/2009","Good",2014-09-30,1,"2014-01-01",NA,NA
"818","For-profit","SC437645",4,"LEEDS","The Partnership of Care Today Children's Services","08/02/2012","Outstanding",2014-09-30,1,"2014-01-01",NA,NA
"819","For-profit","SC476326",5,"SHROPSHIRE","Cambian Childcare Ltd","03/03/2014","Good",2014-09-30,1,"2014-01-01",NA,NA
"820","For-profit","SC457424",1,"WIRRAL",NA,NA,"Good",2014-09-30,1,"2014-01-01","2017-01-31",NA
"821","For-profit","SC368032",3,"WALSALL","Constant Child Care Ltd","03/03/2008","Good",2014-09-29,1,"2014-01-01","2020-12-04",NA
"822","Local Authority","SC034012",3,"TAMESIDE","Tameside Mbc","10/09/2003","Outstanding",2014-09-29,1,"2014-01-01",NA,NA
"823","For-profit","SC381667",4,"LIVERPOOL","Supporting Futures Limited","30/09/2008","Good",2014-09-29,1,"2014-01-01",NA,NA
"824","Local Authority","SC062537",4,"HALTON",NA,NA,"Good",2014-09-29,1,"2014-01-01","2016-10-28",NA
"825","For-profit","SC366343",4,"TAMESIDE","Maple Leaf Care Limited","06/02/2008","Outstanding",2014-09-26,1,"2014-01-01",NA,NA
"826","For-profit","SC023744",3,"KENT","Ethelbert Specialist Homes Limited","16/07/2001","Good",2014-09-25,1,"2014-01-01",NA,NA
"827","Third Sector","SC015264",7,"CAMBRIDGESHIRE","The Chartwell Group of Companies Limited","01/12/1992","Good",2014-09-25,1,"2014-01-01","2021-10-31",NA
"828","Local Authority","SC040511",5,"SALFORD","Salford City Council","29/03/2004","Good",2014-09-25,1,"2014-01-01",NA,NA
"829","For-profit","SC401603",15,"LANCASHIRE",NA,NA,"Good",2014-09-25,1,"2014-01-01","2017-09-25",NA
"830","Third Sector","SC449331",6,"SOUTH GLOUCESTERSHIRE",NA,NA,"Good",2014-09-25,1,"2014-01-01","2017-02-17",NA
"831","For-profit","SC367637",9,"SOMERSET","Willows (Devon) Limited","27/02/2008","Good",2014-09-25,1,"2014-01-01","2019-06-25",NA
"832","For-profit","SC398253",5,"CUMBRIA","North Lakes Children's Services Limited","25/08/2009","Outstanding",2014-09-25,1,"2014-01-01",NA,NA
"833","For-profit","SC456850",1,"ROCHDALE","Cambian Childcare Ltd","15/02/2013","Good",2014-09-25,1,"2014-01-01",NA,NA
"834","For-profit","SC025409",3,"LIVERPOOL","The Partnership of Care Today Children's Services","11/10/2001","Good",2014-09-24,1,"2014-01-01",NA,NA
"835","For-profit","SC064663",6,"SEFTON","Owned by an individual","15/08/2005","Good",2014-09-24,1,"2014-01-01",NA,NA
"836","Local Authority","SC394224",4,"CHESHIRE EAST",NA,NA,"Good",2014-09-24,1,"2014-01-01","2017-03-30",NA
"837","For-profit","SC412687",3,"SALFORD","Social Care Services (clayton) Limited","06/07/2010","Good",2014-09-24,1,"2014-01-01",NA,NA
"838","Local Authority","SC035780",7,"DERBYSHIRE",NA,NA,"Inadequate",2014-09-24,1,"2014-01-01","2015-08-03",NA
"839","Local Authority","SC036347",6,"GLOUCESTERSHIRE",NA,NA,"Outstanding",2014-09-24,1,"2014-01-01","2016-12-09",NA
"840","Local Authority","SC069618",1,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","12/03/2007","Outstanding",2014-09-24,1,"2014-01-01",NA,NA
"841","For-profit","SC356817",4,"OLDHAM","Lifetime Opportunities Ltd","09/07/2007","Good",2014-09-24,1,"2014-01-01",NA,NA
"842","For-profit","SC420410",3,"WILTSHIRE","Arc Hd Services Ltd","22/06/2011","Good",2014-09-24,1,"2014-01-01",NA,NA
"843","Local Authority","SC037447",16,"WEST SUSSEX","West Sussex County Council","21/02/2003","Good",2014-09-24,1,"2014-01-01",NA,NA
"844","For-profit","SC062309",6,"TAMESIDE","Courtyard Care Limited","16/03/2005","Outstanding",2014-09-24,1,"2014-01-01",NA,NA
"845","For-profit","SC062785",9,"WALTHAM FOREST","MIG House Residential Care Home Limited","28/02/2005","Good",2014-09-24,1,"2014-01-01",NA,NA
"846","For-profit","SC407326",3,"PETERBOROUGH","CareTech Community Services Limited",NA,"Good",2014-09-24,1,"2014-01-01","2018-10-31",NA
"847","For-profit","SC409851",4,"HOUNSLOW","Westgate Lifestyle Project Limited","07/06/2010","Good",2014-09-24,1,"2014-01-01",NA,NA
"848","For-profit","SC457506",2,"OLDHAM","Cambian Childcare Ltd","18/03/2013","Good",2014-09-24,1,"2014-01-01","2021-08-06",NA
"849","For-profit","SC459255",6,"NOTTINGHAM",NA,NA,"Good",2014-09-24,1,"2014-01-01","2017-05-24",NA
"850","For-profit","SC030650",5,"GLOUCESTERSHIRE","Step-a-Side Company Limited","20/12/2002","Good",2014-09-23,1,"2014-01-01",NA,NA
"851","For-profit","SC379357",3,"NORFOLK","Castle Homes Care Ltd","11/09/2008","Good",2014-09-23,1,"2014-01-01",NA,NA
"852","For-profit","SC066916",4,"LIVERPOOL","","18/08/2006","Good",2014-09-23,1,"2014-01-01",NA,NA
"853","For-profit","SC363933",6,"NORTHAMPTONSHIRE",NA,NA,"Good",2014-09-23,1,"2014-01-01","2015-12-08",NA
"854","For-profit","SC407933",4,"SHROPSHIRE","Prestige Adolescent Care And Education Limited","19/04/2010","Good",2014-09-23,1,"2014-01-01",NA,NA
"855","For-profit","SC061803",5,"LANCASHIRE","Sandcastle Care Ltd","14/09/2004","Good",2014-09-22,1,"2014-01-01",NA,NA
"856","For-profit","SC372630",2,"TELFORD AND WREKIN","Bryn Melyn Care","02/07/2008","Good",2014-09-22,1,"2014-01-01",NA,NA
"857","For-profit","SC458430",3,"DEVON","Virgin Care Limited","09/01/2013","Good",2014-09-22,1,"2014-01-01","2019-03-31",NA
"858","Third Sector","SC010415",9,"BARNET","Norwood Ravenswood","24/04/1994","Good",2014-09-19,1,"2014-01-01",NA,NA
"859","For-profit","SC461450",3,"KIRKLEES","Harmony Childrens Services","17/05/2013","Good",2014-09-19,1,"2014-01-01",NA,NA
"860","Local Authority","SC063978",8,"BRADFORD","Bradford Childrens Specialist Service","29/06/2005","Good",2014-09-19,1,"2014-01-01","2023-03-31",NA
"861","For-profit","SC006017",1,"LANCASHIRE","Doncaster Deaf Trust","20/06/2001","Good",2014-09-19,1,"2014-01-01",NA,NA
"862","Local Authority","SC409502",5,"BEDFORD","Bedford Borough Council","31/03/2010","Good",2014-09-19,1,"2014-01-01",NA,NA
"863","For-profit","SC431803",4,"BRACKNELL FOREST","SWAAY Child and Adolescent Services Limited","28/07/2011","Good",2014-09-18,1,"2014-01-01","2023-02-27",NA
"864","For-profit","SC462450",4,"THURROCK","Satash Community Care Project Limited","04/07/2013","Good",2014-09-18,1,"2014-01-01",NA,NA
"865","For-profit","SC005045",3,"STAFFORDSHIRE","The Partnership of Care Today Children's Services","27/01/2000","Good",2014-09-18,1,"2014-01-01",NA,NA
"866","Third Sector","SC025713",2,"STOCKPORT","The Together Trust","15/02/1999","Outstanding",2014-09-18,1,"2014-01-01",NA,NA
"867","Local Authority","SC038804",3,"DUDLEY",NA,NA,"Good",2014-09-18,1,"2014-01-01","2018-02-22",NA
"868","For-profit","SC398390",1,"TELFORD AND WREKIN",NA,NA,"Good",2014-09-18,1,"2014-01-01","2017-06-01",NA
"869","Local Authority","SC037281",7,"SUFFOLK","Suffolk County Council","03/03/2003","Good",2014-09-18,1,"2014-01-01",NA,NA
"870","Local Authority","SC037521",9,"ROTHERHAM","Rotherham Metropolitan Borough Council","24/04/2003","Good",2014-09-18,1,"2014-01-01",NA,NA
"871","For-profit","SC063054",1,"ROCHDALE","Meadows Care Ltd",NA,"Good",2014-09-18,1,"2014-01-01","2018-05-30",NA
"872","For-profit","SC390434",2,"STOKE ON TRENT","Crystal Care Solutions Limited Company Number 05952454","12/03/2009","Outstanding",2014-09-18,1,"2014-01-01","2021-10-01",NA
"873","For-profit","SC061438",1,"ST HELENS","Crossway Services Limited","02/09/2004","Good",2014-09-17,1,"2014-01-01",NA,NA
"874","For-profit","SC068277",6,"OLDHAM","Cambian Childcare Ltd",NA,"Good",2014-09-17,1,"2014-01-01","2018-07-10",NA
"875","For-profit","SC428750",3,"STAFFORDSHIRE","Educare Adolescent Services Limited","05/06/2011","Good",2014-09-17,1,"2014-01-01","2019-06-11",NA
"876","Local Authority","SC035648",42,"DURHAM","Durham County Council","04/09/2003","Good",2014-09-17,1,"2014-01-01",NA,NA
"877","For-profit","SC034241",49,"LINCOLNSHIRE","Kisimul Group Ltd","27/12/2002","Good",2014-09-17,1,"2014-01-01",NA,NA
"878","For-profit","SC456416",1,"ROCHDALE","Cambian Childcare Ltd","11/02/2013","Good",2014-09-17,1,"2014-01-01",NA,NA
"879","For-profit","SC069293",2,"CALDERDALE","Time-Out Children's Homes Limited","09/02/2007","Good",2014-09-17,1,"2014-01-01",NA,NA
"880","For-profit","SC456602",3,"DURHAM","Cambian Childcare Ltd","14/02/2013","Good",2014-09-17,1,"2014-01-01",NA,NA
"881","For-profit","SC053669",6,"LEICESTER",NA,NA,"Good",2014-09-17,1,"2014-01-01","2015-07-28",NA
"882","Local Authority","SC033389",5,"LEEDS","Leeds City Council","17/07/2003","Good",2014-09-16,1,"2014-01-01",NA,NA
"883","For-profit","SC476286",5,"LEICESTERSHIRE","Cambian Childcare Ltd","09/05/2014","Outstanding",2014-09-16,1,"2014-05-09",NA,NA
"884","Local Authority","SC032715",6,"SUNDERLAND",NA,NA,"Good",2014-09-15,1,"2014-01-01","2017-03-31",NA
"885","For-profit","SC451511",7,"SOUTHAMPTON",NA,NA,"Good",2014-09-15,1,"2014-01-01","2016-10-08",NA
"886","Local Authority","SC034900",11,"NOTTINGHAM","Nottingham City Council","28/11/2003","Good",2014-09-15,1,"2014-01-01",NA,NA
"887","For-profit","SC006014",3,"LANCASHIRE","Doncaster Deaf Trust","20/06/2001","Good",2014-09-15,1,"2014-01-01",NA,NA
"888","For-profit","SC408513",3,"CHESHIRE EAST","Oracle Care Limited","12/04/2010","Good",2014-09-15,1,"2014-01-01",NA,NA
"889","For-profit","SC020595",4,"SHROPSHIRE","Family Care Associates Limited","06/09/1993","Good",2014-09-12,1,"2014-01-01",NA,NA
"890","Local Authority","SC040509",3,"SALFORD","Salford City Council","25/02/2004","Outstanding",2014-09-12,1,"2014-01-01",NA,NA
"891","Third Sector","SC057718",5,"BOLTON","The Together Trust","14/06/2004","Outstanding",2014-09-12,1,"2014-01-01",NA,NA
"892","For-profit","SC390785",3,"WEST SUSSEX","My Choice Children's Homes Ltd","01/04/2009","Good",2014-09-11,1,"2014-01-01",NA,NA
"893","Third Sector","SC416136",5,"SUNDERLAND","North East Autism Society","03/11/2010","Good",2014-09-11,1,"2014-01-01",NA,NA
"894","For-profit","SC427338",2,"DONCASTER",NA,NA,"Good",2014-09-11,1,"2014-01-01","2016-06-03",NA
"895","For-profit","SC020193",25,"DERBYSHIRE","The SENAD Group Limited","29/01/2001","Good",2014-09-11,1,"2014-01-01",NA,NA
"896","For-profit","SC050173",3,"LEICESTERSHIRE",NA,NA,"Good",2014-09-11,1,"2014-01-01","2016-01-08",NA
"897","Local Authority","SC066120",5,"LEEDS","Leeds City Council","12/12/2005","Good",2014-09-11,1,"2014-01-01",NA,NA
"898","For-profit","SC066242",2,"SEFTON","Progressive Futures Care Limited","30/03/2006","Good",2014-09-11,1,"2014-01-01",NA,NA
"899","For-profit","SC456409",1,"ROCHDALE","Cambian Childcare Ltd","20/02/2013","Outstanding",2014-09-11,1,"2014-01-01",NA,NA
"900","For-profit","SC378407",2,"ROCHDALE","Time-Out Childrens Homes Limited","18/07/2008","Good",2014-09-11,1,"2014-01-01",NA,NA
"901","For-profit","SC005589",2,"TAMESIDE","The Partnership of Care Today Children's Services","10/07/2001","Good",2014-09-11,1,"2014-01-01",NA,NA
"902","For-profit","SC443758",8,"NORFOLK",NA,NA,"Good",2014-09-11,1,"2014-01-01","2017-01-26",NA
"903","For-profit","SC060750",3,"LANCASHIRE","Lifetime Opportunities Ltd","24/06/2004","Good",2014-09-10,1,"2014-01-01",NA,NA
"904","Local Authority","SC035450",6,"LANCASHIRE",NA,NA,"Good",2014-09-10,1,"2014-01-01","2017-01-10",NA
"905","For-profit","SC064472",4,"DEVON","Willows (Devon) Limited","28/09/2005","Good",2014-09-10,1,"2014-01-01",NA,NA
"906","For-profit","SC372117",2,"ROCHDALE","Meadows Care Ltd","13/06/2008","Inadequate",2014-09-10,1,"2014-01-01",NA,NA
"907","Local Authority","SC444792",2,"WARRINGTON","Warrington Borough Council","19/03/2012","Good",2014-09-10,1,"2014-01-01","2020-08-10",NA
"908","For-profit","SC448693",4,"BRENT","Amelia's House Limited","17/12/2012","Good",2014-09-10,1,"2014-01-01",NA,NA
"909","For-profit","SC451152",4,"NORFOLK","Stanfield Care Services Limited","16/11/2012","Good",2014-09-10,1,"2014-01-01","2021-11-19",NA
"910","For-profit","SC067771",4,"WIRRAL","Good Foundations Limited","28/07/2006","Good",2014-09-10,1,"2014-01-01",NA,NA
"911","Local Authority","SC357166",6,"BIRMINGHAM",NA,NA,"Good",2014-09-10,1,"2014-01-01","2016-10-01",NA
"912","For-profit","SC374939",3,"LIVERPOOL","Horizon Care Limited","22/04/2008","Good",2014-09-10,1,"2014-01-01","2020-04-22",NA
"913","For-profit","SC456719",6,"NORTHAMPTONSHIRE","Cambian Childcare Ltd","27/02/2013","Good",2014-09-10,1,"2014-01-01",NA,NA
"914","For-profit","SC464958",6,"SHROPSHIRE","Cambian Childcare Ltd","07/08/2013","Good",2014-09-09,1,"2014-01-01",NA,NA
"915","For-profit","SC467268",5,"BLACKBURN WITH DARWEN","The Partnership of Care Today Children's Services","29/09/2013","Good",2014-09-09,1,"2014-01-01",NA,NA
"916","Local Authority","SC043732",7,"LINCOLNSHIRE","Lincolnshire County Council","09/10/2003","Good",2014-09-09,1,"2014-01-01",NA,NA
"917","Local Authority","SC042921",12,"LINCOLNSHIRE","Lincolnshire County Council","29/10/2003","Good",2014-09-09,1,"2014-01-01",NA,NA
"918","Local Authority","SC032058",6,"BUCKINGHAMSHIRE","Buckinghamshire County Council","14/08/2003","Good",2014-09-09,1,"2014-01-01","2022-06-09",NA
"919","For-profit","SC437486",5,"SANDWELL","Progress Children's Services","24/02/2012","Good",2014-09-09,1,"2014-01-01",NA,NA
"920","For-profit","SC474150",4,"BUCKINGHAMSHIRE","Benjamin Uk Ltd","11/02/2014","Good",2014-09-09,1,"2014-01-01",NA,NA
"921","For-profit","SC476401",5,"WORCESTERSHIRE",NA,NA,"Good",2014-09-09,1,"2014-04-25","2017-05-24",NA
"922","For-profit","SC013553",9,"SURREY","Bramley Care Limited","16/01/1998","Good",2014-09-08,1,"2014-01-01",NA,NA
"923","For-profit","SC372652",1,"SHROPSHIRE","Bryn Melyn Care","12/12/2008","Good",2014-09-08,1,"2014-01-01","2021-10-31",NA
"924","For-profit","SC009648",3,"LANCASHIRE","Horizon Care Limited","27/03/2001","Good",2014-09-05,1,"2014-01-01","2020-06-17",NA
"925","For-profit","SC366851",3,"SALFORD","Horizon Care Limited","18/02/2008","Outstanding",2014-09-05,1,"2014-01-01","2020-05-01",NA
"926","For-profit","SC068559",16,"EAST SUSSEX","PJL Healthcare Limited","20/12/2006","Outstanding",2014-09-04,1,"2014-01-01",NA,NA
"927","Local Authority","SC477205",5,"KENSINGTON AND CHELSEA","Royal Borough of Kensington and Chelsea","21/05/2014","Good",2014-09-04,1,"2014-05-21",NA,NA
"928","For-profit","SC475323",3,"STAFFORDSHIRE","Horizon Care And Education Group Limited","06/02/2014","Good",2014-09-04,1,"2014-01-01",NA,NA
"929","For-profit","SC040785",2,"SEFTON","PIC Children's Services Limited","05/03/2003","Good",2014-09-03,1,"2014-01-01",NA,NA
"930","For-profit","SC061678",4,"LIVERPOOL","Care Assist Children's Services Limited","17/08/2004","Good",2014-08-29,1,"2014-01-01",NA,NA
"931","For-profit","SC465588",4,"MILTON KEYNES","White Orchid Care Limited","03/07/2013","Good",2014-08-29,1,"2014-01-01",NA,NA
"932","Local Authority","SC036584",4,"WALSALL","Walsall Metropolitan Borough Council","31/03/2003","Good",2014-08-29,1,"2014-01-01",NA,NA
"933","Third Sector","SC405285",4,"SUNDERLAND","North East Autism Society","11/01/2010","Good",2014-08-29,1,"2014-01-01",NA,NA
"934","For-profit","SC442864",2,"ROCHDALE","Meadows Care Ltd","09/03/2012","Good",2014-08-29,1,"2014-01-01",NA,NA
"935","For-profit","SC068181",2,"ESSEX",NA,NA,"Good",2014-08-28,1,"2014-01-01","2016-01-22",NA
"936","For-profit","SC465079",1,"MIDDLESBROUGH","Cambian Childcare Ltd","08/07/2013","Good",2014-08-28,1,"2014-01-01",NA,NA
"937","Third Sector","SC013598",14,"SURREY","Cherry Trees Limited","26/03/1986","Good",2014-08-28,1,"2014-01-01",NA,NA
"938","Third Sector","SC013743",19,"SURREY","Action For Children","26/04/1973","Good",2014-08-28,1,"2014-01-01",NA,NA
"939","Local Authority","SC033698",12,"BIRMINGHAM","Birmingham City Council",NA,"Good",2014-08-28,1,"2014-01-01","2018-04-01",NA
"940","Local Authority","SC039897",4,"DUDLEY","Dudley Metropolitan Borough Council","22/04/2003","Good",2014-08-28,1,"2014-01-01","2022-04-30",NA
"941","Local Authority","SC397293",6,"DERBY","Derby City Council","02/09/2009","Good",2014-08-28,1,"2014-01-01",NA,NA
"942","For-profit","SC475347",2,"STAFFORDSHIRE","Horizon Care And Education Group Limited","14/04/2014","Good",2014-08-28,1,"2014-04-14",NA,NA
"943","For-profit","SC390577",2,"ROCHDALE","Meadows Care Ltd","31/03/2009","Good",2014-08-27,1,"2014-01-01",NA,NA
"944","For-profit","SC405772",3,"KENT","Lynstead Childrens Services Ltd",NA,"Good",2014-08-27,1,"2014-01-01","2018-09-19",NA
"945","For-profit","SC008342",5,"SALFORD",NA,NA,"Good",2014-08-27,1,"2014-01-01","2015-10-26",NA
"946","For-profit","SC008484",6,"STOCKPORT","","18/01/1994","Outstanding",2014-08-27,1,"2014-01-01",NA,NA
"947","Third Sector","SC423753",5,"SHEFFIELD","Ruskin Mill Trust Limited","03/11/2011","Outstanding",2014-08-27,1,"2014-01-01",NA,NA
"948","For-profit","SC062475",1,"ROCHDALE",NA,NA,"Good",2014-08-27,1,"2014-01-01","2016-08-23",NA
"949","For-profit","SC064931",8,"DARLINGTON","Pear Tree Projects Limited","22/09/2005","Good",2014-08-26,1,"2014-01-01",NA,NA
"950","Local Authority","SC032565",6,"STOKE ON TRENT","Stoke On Trent City Council","16/06/2003","Good",2014-08-26,1,"2014-01-01",NA,NA
"951","For-profit","SC400219",5,"LANCASHIRE","Keys Care Limited","27/11/2009","Outstanding",2014-08-26,1,"2014-01-01","2021-03-31",NA
"952","For-profit","SC407245",1,"BLACKPOOL",NA,NA,"Good",2014-08-26,1,"2014-01-01","2016-08-18",NA
"953","For-profit","SC016697",4,"GLOUCESTERSHIRE","Chances CCFSS Limited","31/07/2001","Outstanding",2014-08-22,1,"2014-01-01",NA,NA
"954","For-profit","SC065261",60,"DORSET","Cambian Autism Services Limited","26/10/2005","Good",2014-08-21,1,"2014-01-01","2023-03-02",NA
"955","Local Authority","SC039248",6,"LANCASHIRE","Lancashire County Council","20/11/2003","Good",2014-08-21,1,"2014-01-01",NA,NA
"956","Third Sector","SC020682",7,"SHROPSHIRE","Royal Mencap Society",NA,"Good",2014-08-21,1,"2014-01-01","2019-02-07",NA
"957","For-profit","SC400880",4,"LANCASHIRE","Choices 4 Children Ltd","25/09/2009","Good",2014-08-21,1,"2014-01-01",NA,NA
"958","For-profit","SC456729",3,"HALTON","Cambian Childcare Ltd","14/02/2013","Good",2014-08-21,1,"2014-01-01",NA,NA
"959","For-profit","SC436372",6,"LEICESTERSHIRE","Cambian Childcare Ltd","24/10/2011","Good",2014-08-21,1,"2014-01-01",NA,NA
"960","For-profit","SC412953",4,"BEDFORD","Benjamin Uk Ltd","03/08/2010","Good",2014-08-20,1,"2014-01-01",NA,NA
"961","Local Authority","SC058750",4,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","22/12/2003","Outstanding",2014-08-20,1,"2014-01-01","2020-07-06",NA
"962","For-profit","SC416464",2,"ROCHDALE","Meadows Care Ltd","11/01/2011","Good",2014-08-20,1,"2014-01-01",NA,NA
"963","Local Authority","SC448615",8,"PLYMOUTH","The Governing Body of Woodland School","15/10/2012","Good",2014-08-20,1,"2014-01-01","2021-06-16",NA
"964","Local Authority","SC040642",7,"SURREY","Surrey County Council","19/11/2003","Outstanding",2014-08-20,1,"2014-01-01",NA,NA
"965","For-profit","SC410545",2,"BIRMINGHAM","Positive Pathways Limited","28/07/2010","Good",2014-08-20,1,"2014-01-01",NA,NA
"966","For-profit","SC460910",3,"STAFFORDSHIRE",NA,NA,"Good",2014-08-20,1,"2014-01-01","2016-06-13",NA
"967","Third Sector","SC069128",7,"OXFORDSHIRE","Barnardo's","19/02/2007","Good",2014-08-19,1,"2014-01-01",NA,NA
"968","Local Authority","SC415400",6,"GLOUCESTERSHIRE","Gloucestershire County Council","13/10/2010","Good",2014-08-19,1,"2014-01-01",NA,NA
"969","For-profit","SC361811",2,"ROCHDALE","Meadows Care Ltd","19/09/2007","Good",2014-08-19,1,"2014-01-01",NA,NA
"970","For-profit","SC022444",1,"ST HELENS","PIC Children's Services Limited","26/09/2001","Good",2014-08-19,1,"2014-01-01","2021-04-01",NA
"971","For-profit","SC385633",5,"KINGSTON UPON HULL","St Hill Establishments Ltd","20/11/2008","Good",2014-08-19,1,"2014-01-01",NA,NA
"972","For-profit","SC457183",1,"HALTON","Cambian Childcare Ltd","14/02/2013","Good",2014-08-19,1,"2014-01-01",NA,NA
"973","Local Authority","SC037441",6,"WEST SUSSEX","West Sussex County Council","21/02/2003","Good",2014-08-19,1,"2014-01-01",NA,NA
"974","For-profit","SC470585",6,"NORFOLK","Flying Spur Limited","27/09/2013","Good",2014-08-18,1,"2014-01-01",NA,NA
"975","For-profit","SC050766",5,"LANCASHIRE",NA,NA,"Good",2014-08-18,1,"2014-01-01","2015-10-19",NA
"976","Third Sector","SC373044",4,"BOLTON","Birtenshaw - company number 02978546","18/03/2008","Good",2014-08-15,1,"2014-01-01",NA,NA
"977","For-profit","SC441410",2,"ST HELENS","Inspire Childrens Services Limited","02/02/2012","Good",2014-08-14,1,"2014-01-01",NA,NA
"978","For-profit","SC061062",3,"WIRRAL",NA,NA,"Good",2014-08-13,1,"2014-01-01","2015-09-29",NA
"979","For-profit","SC370949",3,"NORFOLK","Keys Care Limited","15/02/2008","Good",2014-08-13,1,"2014-01-01",NA,NA
"980","For-profit","SC414296",3,"NOTTINGHAM","Total Care Matters Limited","23/08/2010","Good",2014-08-13,1,"2014-01-01",NA,NA
"981","Local Authority","SC472977",15,"BRADFORD","Bradford Childrens Specialist Service","30/01/2014","Good",2014-08-13,1,"2014-01-01",NA,NA
"982","For-profit","SC035816",5,"SHEFFIELD","Northern Life Care Limited T/A UBU","12/08/2002","Good",2014-08-13,1,"2014-01-01","2019-06-16",NA
"983","Local Authority","SC039183",4,"LANCASHIRE",NA,NA,"Outstanding",2014-08-13,1,"2014-01-01","2016-02-29",NA
"984","Third Sector","SC359808",5,"WILTSHIRE",NA,NA,"Good",2014-08-13,1,"2014-01-01","2017-09-25",NA
"985","Local Authority","SC031698",8,"EAST SUSSEX","East Sussex County Council","31/07/2003","Good",2014-08-13,1,"2014-01-01",NA,NA
